N,ns per cell total,react,vel_step,dens_step
2, 172.886986, 10.284146, 134.580641, 28.022198
2, 176.663988, 10.459458, 137.662258, 28.542272
2, 186.677442, 10.325590, 134.870182, 41.481670
2, 189.459373, 10.320638, 134.890150, 44.248585
2, 189.063073, 10.298986, 134.601190, 44.162897
2, 189.685261, 10.360167, 134.971490, 44.353604
2, 188.991768, 10.325694, 134.485989, 44.180085
2, 188.886060, 10.307957, 134.323890, 44.254213
2, 189.321791, 10.333819, 134.646679, 44.341293
4, 131.248063, 4.267254, 111.084389, 15.896421
4, 132.030841, 4.286557, 111.748377, 15.995906
4, 131.614654, 4.269360, 111.416042, 15.929251
4, 131.423246, 4.262227, 111.250790, 15.910229
4, 131.387991, 4.274833, 111.184453, 15.928705
4, 131.523282, 4.270715, 111.351857, 15.900710
4, 131.405667, 4.265014, 111.246072, 15.894581
4, 131.251127, 4.271017, 111.075660, 15.904451
4, 130.986076, 4.273177, 110.791302, 15.921596
8, 204.878147, 2.462727, 187.350686, 15.064734
8, 203.759597, 2.452048, 186.321775, 14.985775
8, 204.011216, 2.453652, 186.572719, 14.984846
8, 208.147534, 2.504783, 190.340221, 15.302530
8, 202.982498, 2.441115, 185.609677, 14.931706
8, 203.860399, 2.454030, 186.413199, 14.993170
8, 203.900901, 2.451327, 186.464714, 14.984860
8, 203.853825, 2.451464, 186.405442, 14.996919
8, 203.651245, 2.452687, 186.193632, 15.004926
16, 305.648236, 1.828060, 286.973231, 16.846944
16, 306.259482, 1.833303, 287.544734, 16.881446
16, 305.878528, 1.828749, 287.213529, 16.836251
16, 305.367483, 1.824855, 286.710335, 16.832293
16, 305.532538, 1.826802, 286.867678, 16.838058
16, 305.458462, 1.826245, 286.802993, 16.829224
16, 305.334708, 1.829052, 286.674414, 16.831242
16, 305.573157, 1.826711, 286.915290, 16.831156
16, 305.847995, 1.832937, 287.157598, 16.857461
32, 360.679139, 1.585021, 339.913781, 19.180337
32, 359.169743, 1.577520, 338.536485, 19.055738
32, 360.634312, 1.586066, 339.905517, 19.142728
32, 359.492569, 1.579814, 338.832879, 19.079875
32, 368.647331, 1.651308, 347.391884, 19.604139
32, 360.897454, 1.592091, 340.155978, 19.149385
32, 359.183146, 1.578060, 338.544542, 19.060545
32, 359.191473, 1.578960, 338.563422, 19.049091
32, 360.431457, 1.584113, 339.720713, 19.126631
64, 390.453167, 1.507045, 368.173183, 20.772939
64, 389.340146, 1.504118, 367.543323, 20.292706
64, 389.951104, 1.500542, 368.146107, 20.304456
64, 390.669158, 1.509215, 368.770748, 20.389195
64, 390.964073, 1.514878, 369.027304, 20.421891
64, 393.116483, 1.528744, 371.059094, 20.528645
64, 389.878909, 1.502723, 368.057254, 20.318932
64, 389.278273, 1.506876, 367.471590, 20.299807
64, 389.574078, 1.502255, 367.775427, 20.296396
128, 404.479233, 1.466097, 381.524640, 21.488496
128, 403.693670, 1.450926, 380.526280, 21.716465
128, 403.460902, 1.452905, 380.596875, 21.411121
128, 402.941360, 1.457358, 380.608907, 20.875096
128, 402.979571, 1.450898, 380.649980, 20.878693
128, 405.603799, 1.474614, 383.102923, 21.026261
128, 410.539005, 1.530718, 387.679809, 21.328478
128, 403.747972, 1.458908, 381.354201, 20.934863
128, 403.486114, 1.451280, 381.137185, 20.897650
256, 418.936633, 1.570448, 395.549271, 21.816914
256, 414.790516, 1.458529, 391.459067, 21.872920
256, 415.587001, 1.453983, 392.015434, 22.117584
256, 412.959850, 1.433877, 389.433472, 22.092500
256, 415.570957, 1.452576, 391.908834, 22.209548
256, 412.358007, 1.435825, 388.922922, 21.999259
256, 414.376072, 1.464176, 390.742768, 22.169128
256, 412.355201, 1.439969, 388.918567, 21.996665
256, 413.662789, 1.444749, 390.073387, 22.144653
