N,ns per cell total,react,vel_step,dens_step
2, 172.306686, 9.706158, 136.239197, 26.361331
2, 173.825529, 9.799935, 137.376966, 26.648629
2, 195.142667, 9.974338, 139.101415, 46.066914
2, 195.219131, 9.747786, 136.543315, 48.928030
2, 195.117062, 9.766504, 136.273695, 49.076863
2, 193.976773, 9.761621, 136.342775, 47.872376
2, 194.065605, 9.777557, 136.542257, 47.745791
2, 194.247169, 9.791326, 136.340754, 48.115090
2, 194.475648, 9.816927, 136.533841, 48.124880
4, 139.898155, 3.472280, 119.873386, 16.552489
4, 139.936645, 3.478923, 119.907744, 16.549978
4, 139.396764, 3.460990, 119.447410, 16.488363
4, 139.351800, 3.463426, 119.411630, 16.476744
4, 139.727030, 3.469075, 119.722909, 16.535045
4, 139.407377, 3.462049, 119.456334, 16.488994
4, 139.475962, 3.461974, 119.524332, 16.489656
4, 139.432107, 3.462332, 119.486835, 16.482940
4, 139.433604, 3.459321, 119.490099, 16.484184
8, 214.141162, 1.511944, 197.479512, 15.149706
8, 213.258076, 1.506333, 196.671760, 15.079984
8, 213.611235, 1.509323, 196.981834, 15.120077
8, 219.694065, 1.552555, 202.599406, 15.542104
8, 213.458285, 1.508629, 196.823618, 15.126038
8, 213.540077, 1.514405, 196.879937, 15.145735
8, 214.022531, 1.512138, 197.363624, 15.146768
8, 213.953775, 1.513422, 197.270267, 15.170086
8, 213.785953, 1.511175, 197.129958, 15.144821
16, 314.802416, 0.978479, 297.037415, 16.786522
16, 313.253390, 0.977060, 295.557749, 16.718581
16, 314.930077, 0.981994, 297.134597, 16.813486
16, 313.059091, 0.975666, 295.375282, 16.708143
16, 314.665566, 0.978165, 296.902488, 16.784913
16, 313.713624, 0.975256, 296.010889, 16.727479
16, 313.717240, 0.977296, 295.999291, 16.740653
16, 314.303226, 0.976916, 296.570368, 16.755942
16, 313.932841, 0.978135, 296.200145, 16.754561
32, 371.709004, 0.776171, 351.702326, 19.230507
32, 370.988042, 0.778942, 351.007361, 19.201738
32, 372.463539, 0.781116, 352.459783, 19.222641
32, 373.360736, 0.782443, 353.333129, 19.245163
32, 374.213810, 0.794021, 354.111159, 19.308631
32, 379.238994, 0.835464, 358.819104, 19.584426
32, 371.027134, 0.774189, 351.146432, 19.106513
32, 371.807381, 0.775935, 351.875716, 19.155731
32, 371.776669, 0.776071, 351.847306, 19.153292
64, 407.317052, 0.716295, 385.576566, 21.024191
64, 407.228126, 0.715937, 386.046425, 20.465764
64, 407.441050, 0.716403, 386.258697, 20.465950
64, 407.210220, 0.715590, 386.034856, 20.459774
64, 408.175041, 0.718746, 386.949207, 20.507087
64, 407.112596, 0.715333, 385.944727, 20.452536
64, 406.698131, 0.715319, 385.532262, 20.450550
64, 408.369707, 0.717074, 387.196729, 20.455904
64, 407.207542, 0.716092, 386.042555, 20.448894
128, 416.067358, 0.700866, 393.440098, 21.926394
128, 417.057071, 0.689308, 394.295287, 22.072476
128, 419.540494, 0.690643, 397.023898, 21.825952
128, 418.836904, 0.687817, 397.022382, 21.126706
128, 418.727464, 0.688392, 396.920502, 21.118571
128, 419.553385, 0.697908, 397.662681, 21.192796
128, 431.993188, 0.794477, 409.298358, 21.900353
128, 417.858306, 0.691928, 396.099537, 21.066841
128, 420.193707, 0.690493, 398.381609, 21.121604
256, 416.145539, 0.869715, 393.676826, 21.598998
256, 418.504492, 0.755112, 395.774358, 21.975022
256, 417.574923, 0.733531, 394.909285, 21.932107
256, 421.001784, 0.733144, 398.096887, 22.171753
256, 419.318564, 0.735111, 396.495472, 22.087981
256, 418.849431, 0.730842, 396.105344, 22.013245
256, 420.623659, 0.730118, 397.892159, 22.001383
256, 419.504482, 0.730413, 396.797758, 21.976311
256, 420.669060, 0.733031, 397.901637, 22.034393
