N,ns per cell total,react,vel_step,dens_step
2, 133.299854, 8.322381, 102.526285, 22.451188
2, 133.216423, 8.324834, 102.494852, 22.396737
2, 132.849059, 8.305480, 102.217835, 22.325744
2, 132.533819, 8.302298, 101.908721, 22.322801
2, 132.682327, 8.296664, 102.030883, 22.354779
2, 132.865126, 8.306203, 102.168241, 22.390682
2, 132.509213, 8.282181, 101.884986, 22.342046
2, 132.469568, 8.282610, 101.891141, 22.295817
2, 132.559152, 8.281665, 101.934198, 22.343290
4, 95.533667, 2.234886, 80.679281, 12.619500
4, 95.748777, 2.243806, 80.862830, 12.642141
4, 95.383520, 2.232276, 80.554403, 12.596842
4, 95.263065, 2.232559, 80.439970, 12.590536
4, 95.277301, 2.231719, 80.449956, 12.595625
4, 95.374771, 2.234491, 80.539724, 12.600556
4, 95.400932, 2.230539, 80.571112, 12.599281
4, 95.372326, 2.233878, 80.541940, 12.596507
4, 95.284943, 2.235032, 80.456882, 12.593030
8, 145.291483, 0.878681, 132.611611, 11.801191
8, 142.482536, 0.863856, 130.052329, 11.566351
8, 142.295679, 0.863345, 129.873994, 11.558340
8, 141.980832, 0.859496, 129.587358, 11.533977
8, 142.033659, 0.858643, 129.644006, 11.531010
8, 142.174189, 0.858562, 129.776457, 11.539171
8, 142.065429, 0.861615, 129.667646, 11.536169
8, 141.994813, 0.863110, 129.595293, 11.536410
8, 142.100225, 0.861370, 129.698863, 11.539992
16, 203.069756, 0.418576, 190.171285, 12.479896
16, 203.368302, 0.418619, 190.457004, 12.492680
16, 202.973379, 0.418608, 190.080759, 12.474012
16, 203.057636, 0.418411, 190.159006, 12.480219
16, 203.563527, 0.420843, 190.635412, 12.507272
16, 203.059363, 0.417915, 190.166123, 12.475325
16, 203.331682, 0.418809, 190.416614, 12.496259
16, 203.099370, 0.417857, 190.206028, 12.475486
16, 202.982999, 0.418743, 190.095765, 12.468490
32, 262.525104, 0.302141, 247.285028, 14.937935
32, 261.755295, 0.301421, 246.559562, 14.894313
32, 267.486512, 0.307706, 251.960319, 15.218486
32, 261.065251, 0.300572, 245.913079, 14.851600
32, 262.088101, 0.302130, 246.872996, 14.912974
32, 261.984606, 0.301367, 246.771413, 14.911826
32, 261.484920, 0.301112, 246.299049, 14.884759
32, 261.933714, 0.302441, 246.717609, 14.913664
32, 261.445232, 0.301145, 246.264390, 14.879696
64, 290.913533, 0.277014, 274.482301, 16.154218
64, 291.691960, 0.276999, 275.222947, 16.192015
64, 290.806010, 0.276101, 274.383811, 16.146099
64, 290.755824, 0.275699, 274.332952, 16.147173
64, 290.960857, 0.276205, 274.531620, 16.153032
64, 290.960842, 0.276579, 274.522268, 16.161994
64, 296.168598, 0.282548, 279.437028, 16.449023
64, 291.207987, 0.276417, 274.766519, 16.165050
64, 291.562120, 0.276631, 275.100366, 16.185123
128, 305.939789, 0.261621, 288.909409, 16.768760
128, 305.929700, 0.261723, 288.897168, 16.770808
128, 307.122246, 0.263081, 290.021154, 16.838011
128, 313.232219, 0.274700, 295.779415, 17.178104
128, 307.026041, 0.263349, 289.928433, 16.834259
128, 305.931036, 0.262275, 288.904694, 16.764067
128, 305.982112, 0.262261, 288.939165, 16.780687
128, 307.015308, 0.263277, 289.921245, 16.830786
128, 306.203678, 0.262112, 289.148459, 16.793106
256, 315.086661, 0.374407, 296.663350, 18.048904
256, 315.561923, 0.375961, 297.049098, 18.136863
256, 314.908611, 0.375080, 296.493393, 18.040138
256, 315.640244, 0.374011, 297.191358, 18.074875
256, 314.839180, 0.373772, 296.423793, 18.041614
256, 315.050302, 0.377995, 296.616294, 18.056013
256, 314.839403, 0.375763, 296.405750, 18.057890
256, 314.899121, 0.374482, 296.469709, 18.054929
256, 314.948596, 0.374712, 296.522333, 18.051551
