N,ns per cell total,react,vel_step,dens_step
2, 125.229306, 7.890744, 96.651655, 20.686906
2, 127.899410, 8.081451, 98.793154, 21.024805
2, 124.602299, 7.874797, 96.259597, 20.467905
2, 125.319934, 7.905216, 96.845034, 20.569684
2, 125.025517, 7.908032, 96.594791, 20.522694
2, 124.809981, 7.895266, 96.326160, 20.588556
2, 124.600775, 7.882225, 96.163409, 20.555141
2, 124.737561, 7.894628, 96.355955, 20.486978
2, 125.017688, 7.892453, 96.556854, 20.568381
4, 92.333122, 2.174592, 78.622555, 11.535975
4, 92.097632, 2.173607, 78.430565, 11.493460
4, 92.159211, 2.168125, 78.508133, 11.482953
4, 92.071837, 2.168296, 78.390359, 11.513183
4, 92.044931, 2.164113, 78.384780, 11.496038
4, 92.042342, 2.168512, 78.384380, 11.489449
4, 91.998194, 2.170385, 78.328646, 11.499163
4, 92.041403, 2.174874, 78.380621, 11.485907
4, 92.071130, 2.172745, 78.401989, 11.496396
8, 138.114491, 0.691932, 127.118665, 10.303895
8, 137.872513, 0.692266, 126.874937, 10.305311
8, 139.518745, 0.700409, 128.402542, 10.415794
8, 138.871124, 0.695960, 127.808705, 10.366459
8, 137.520765, 0.690077, 126.559201, 10.271487
8, 137.726098, 0.690617, 126.741257, 10.294223
8, 138.100209, 0.691725, 127.092493, 10.315991
8, 137.649523, 0.691050, 126.680320, 10.278154
8, 137.709289, 0.690508, 126.742942, 10.275839
16, 183.320859, 0.327384, 172.570007, 10.423468
16, 183.079271, 0.328200, 172.329696, 10.421375
16, 183.355723, 0.327715, 172.584629, 10.443378
16, 183.324040, 0.328393, 172.559588, 10.436059
16, 183.068244, 0.327153, 172.312043, 10.429048
16, 183.157245, 0.327509, 172.402735, 10.427001
16, 183.112373, 0.328023, 172.356827, 10.427523
16, 182.946696, 0.327338, 172.205759, 10.413599
16, 183.304180, 0.328158, 172.549691, 10.426331
32, 231.327811, 0.226403, 218.720533, 12.380875
32, 231.625149, 0.226691, 219.006807, 12.391652
32, 232.066253, 0.226753, 219.443979, 12.395522
32, 231.693974, 0.226923, 219.086408, 12.380643
32, 237.421049, 0.233779, 224.501178, 12.686092
32, 231.004388, 0.225683, 218.433839, 12.344865
32, 232.094834, 0.226643, 219.461749, 12.406441
32, 231.720769, 0.226801, 219.113282, 12.380685
32, 231.777530, 0.226407, 219.165612, 12.385511
64, 262.265673, 0.236410, 248.276495, 13.752768
64, 261.712918, 0.235243, 247.749451, 13.728224
64, 262.005516, 0.236977, 248.031385, 13.737154
64, 262.032116, 0.235741, 248.052828, 13.743547
64, 262.035682, 0.235904, 248.063022, 13.736755
64, 261.773969, 0.235239, 247.816429, 13.722301
64, 262.325897, 0.236999, 248.327152, 13.761746
64, 261.202787, 0.234947, 247.263946, 13.703893
64, 261.730491, 0.235729, 247.767525, 13.727237
128, 277.867220, 0.232806, 263.247985, 14.386429
128, 278.447052, 0.234777, 263.779406, 14.432868
128, 277.690487, 0.233160, 263.078750, 14.378577
128, 277.749260, 0.235250, 263.134033, 14.379977
128, 277.614453, 0.233791, 262.999373, 14.381288
128, 281.522429, 0.245853, 266.691786, 14.584790
128, 280.566409, 0.238899, 265.814884, 14.512625
128, 276.892402, 0.232448, 262.312176, 14.347778
128, 277.991517, 0.233599, 263.371047, 14.386871
256, 285.735049, 0.370224, 270.057737, 15.307087
256, 286.075957, 0.370698, 270.355354, 15.349905
256, 287.124547, 0.371506, 271.324356, 15.428685
256, 286.099690, 0.370170, 270.354517, 15.375003
256, 286.083993, 0.372315, 270.349258, 15.362421
256, 286.448427, 0.371060, 270.694701, 15.382666
256, 286.250807, 0.371278, 270.533625, 15.345904
256, 285.999528, 0.371026, 270.273042, 15.355461
256, 286.147530, 0.371776, 270.395035, 15.380720
