N,ns per cell total,react,vel_step,dens_step
2, 125.224383, 8.013966, 96.724656, 20.485761
2, 124.971397, 7.995517, 96.306309, 20.669571
2, 124.820187, 8.034447, 96.371273, 20.414466
2, 125.189210, 8.057779, 96.577837, 20.553594
2, 125.051433, 7.958140, 96.620856, 20.472437
2, 124.969611, 8.035593, 96.462733, 20.471285
2, 124.940405, 8.046383, 96.361227, 20.532795
2, 124.540313, 7.896670, 96.223514, 20.420130
2, 124.809510, 7.886873, 96.446910, 20.475727
4, 92.664218, 2.146180, 78.965766, 11.552272
4, 92.401245, 2.150446, 78.718003, 11.532796
4, 91.975316, 2.133846, 78.359801, 11.481669
4, 91.978672, 2.135088, 78.359729, 11.483855
4, 92.176218, 2.139177, 78.512651, 11.524391
4, 91.886973, 2.134845, 78.268831, 11.483297
4, 91.929638, 2.135624, 78.318130, 11.475883
4, 93.730446, 2.178276, 79.857773, 11.694398
4, 92.033569, 2.134898, 78.403287, 11.495383
8, 138.150766, 0.695846, 127.142658, 10.312263
8, 137.571783, 0.687923, 126.622398, 10.261462
8, 138.016688, 0.691491, 127.026988, 10.298209
8, 137.774095, 0.688492, 126.818627, 10.266976
8, 137.586451, 0.688874, 126.630071, 10.267506
8, 137.745033, 0.692737, 126.776746, 10.275549
8, 137.764396, 0.690079, 126.795777, 10.278540
8, 137.968109, 0.690005, 126.988918, 10.289186
8, 138.039410, 0.690282, 127.057027, 10.292100
16, 183.451203, 0.328274, 172.683038, 10.439891
16, 183.259305, 0.327340, 172.504835, 10.427130
16, 182.977035, 0.328194, 172.217401, 10.431440
16, 182.936024, 0.327457, 172.193421, 10.415147
16, 182.803806, 0.327067, 172.060885, 10.415854
16, 182.929550, 0.327310, 172.191798, 10.410441
16, 182.913670, 0.326351, 172.173357, 10.413962
16, 183.156277, 0.327126, 172.382046, 10.447105
16, 183.491567, 0.328927, 172.714109, 10.448531
32, 235.367951, 0.231142, 222.555850, 12.580960
32, 230.841696, 0.225804, 218.269220, 12.346673
32, 230.983769, 0.225913, 218.407619, 12.350237
32, 232.414835, 0.227586, 219.756282, 12.430967
32, 231.236439, 0.226213, 218.645859, 12.364367
32, 230.876615, 0.226208, 218.308837, 12.341570
32, 231.018921, 0.226134, 218.441563, 12.351225
32, 231.526756, 0.226396, 218.925236, 12.375124
32, 230.940318, 0.225827, 218.366395, 12.348095
64, 261.946143, 0.237134, 247.953751, 13.755258
64, 261.632191, 0.235543, 247.663958, 13.732690
64, 261.956282, 0.235482, 247.985664, 13.735136
64, 261.603164, 0.235854, 247.633649, 13.733660
64, 262.893885, 0.237371, 248.863184, 13.793331
64, 261.606718, 0.235267, 247.640861, 13.730591
64, 261.595201, 0.235576, 247.641861, 13.717764
64, 261.634020, 0.235456, 247.671014, 13.727550
64, 261.797128, 0.235418, 247.840484, 13.721226
128, 278.959730, 0.228773, 264.239342, 14.491615
128, 284.933237, 0.248379, 269.897050, 14.787808
128, 277.493687, 0.227079, 262.900932, 14.365676
128, 277.312257, 0.226778, 262.718467, 14.367012
128, 277.645872, 0.228039, 263.025724, 14.392109
128, 277.557754, 0.228574, 262.955484, 14.373696
128, 277.353320, 0.229610, 262.776558, 14.347152
128, 277.294151, 0.227103, 262.713652, 14.353396
128, 278.382622, 0.228774, 263.737076, 14.416771
256, 285.511964, 0.370871, 269.966814, 15.174279
256, 286.273052, 0.371249, 270.688603, 15.213200
256, 285.921012, 0.370822, 270.358792, 15.191397
256, 285.463827, 0.371586, 269.918425, 15.173816
256, 285.485540, 0.370656, 269.946828, 15.168056
256, 285.503134, 0.370775, 269.963028, 15.169331
256, 285.570214, 0.370643, 270.039076, 15.160495
256, 285.547543, 0.370252, 270.017660, 15.159631
256, 285.688013, 0.371339, 270.148205, 15.168469
