N,ns per cell total,react,vel_step,dens_step
2, 133.564831, 8.317444, 103.307610, 21.939777
2, 133.396477, 8.314101, 103.112737, 21.969639
2, 133.647463, 8.322300, 103.362556, 21.962607
2, 133.269706, 8.316943, 103.121753, 21.831010
2, 134.017756, 8.351368, 103.718438, 21.947950
2, 133.871606, 8.325787, 103.658952, 21.886867
2, 133.407300, 8.326601, 103.146539, 21.934159
2, 133.425173, 8.307385, 103.247003, 21.870785
2, 133.876648, 8.332900, 103.649215, 21.894533
4, 97.430521, 2.250082, 82.303666, 12.876772
4, 97.019661, 2.238967, 81.969878, 12.810817
4, 97.195364, 2.246607, 82.103319, 12.845437
4, 99.198648, 2.289891, 83.795116, 13.113641
4, 96.999479, 2.241633, 81.949237, 12.808608
4, 97.936261, 2.260528, 82.736080, 12.939653
4, 97.090575, 2.241355, 82.025969, 12.823251
4, 97.307204, 2.245164, 82.202593, 12.859447
4, 96.969785, 2.239592, 81.902213, 12.827980
8, 145.253368, 0.866940, 132.522844, 11.863585
8, 145.464338, 0.868959, 132.719954, 11.875426
8, 144.746104, 0.866769, 132.073182, 11.806153
8, 144.881736, 0.864505, 132.196067, 11.821163
8, 144.922516, 0.864262, 132.237681, 11.820572
8, 144.923780, 0.865412, 132.241194, 11.817174
8, 144.956035, 0.865105, 132.257176, 11.833754
8, 145.005134, 0.865510, 132.305377, 11.834247
8, 144.984240, 0.866598, 132.287329, 11.830313
16, 203.386998, 0.429607, 190.429216, 12.528174
16, 202.714503, 0.427896, 189.796942, 12.489665
16, 203.023576, 0.428500, 190.088956, 12.506120
16, 202.916850, 0.428489, 189.993495, 12.494867
16, 204.473115, 0.432086, 191.443432, 12.597596
16, 206.215970, 0.435136, 193.075709, 12.705125
16, 202.371500, 0.427330, 189.484146, 12.460024
16, 202.823237, 0.429043, 189.894707, 12.499487
16, 202.506479, 0.427568, 189.597636, 12.481275
32, 262.313657, 0.308422, 247.068677, 14.936557
32, 262.269913, 0.308171, 247.031046, 14.930696
32, 262.485479, 0.308284, 247.231253, 14.945942
32, 262.914825, 0.309215, 247.627724, 14.977886
32, 265.163540, 0.314391, 249.756216, 15.092933
32, 262.232248, 0.308127, 246.993879, 14.930242
32, 262.956301, 0.308913, 247.674258, 14.973130
32, 262.545673, 0.308454, 247.287207, 14.950012
32, 262.182826, 0.308398, 246.943763, 14.930664
64, 291.769949, 0.282297, 275.255016, 16.232636
64, 291.246799, 0.279248, 274.769036, 16.198514
64, 291.071094, 0.279075, 274.598151, 16.193868
64, 290.916574, 0.278832, 274.458190, 16.179551
64, 291.654727, 0.280058, 275.136495, 16.238175
64, 292.244910, 0.283020, 275.711416, 16.250473
64, 299.797102, 0.322376, 282.804577, 16.670150
64, 290.789714, 0.278596, 274.341035, 16.170084
64, 290.983955, 0.278836, 274.515267, 16.189851
128, 307.267901, 0.263776, 290.132282, 16.871844
128, 308.792359, 0.266412, 291.592402, 16.933544
128, 307.037812, 0.263550, 289.930012, 16.844249
128, 307.476866, 0.263649, 290.341727, 16.871490
128, 307.490152, 0.263514, 290.347207, 16.879432
128, 307.422062, 0.263669, 290.261058, 16.897335
128, 308.133601, 0.265278, 290.957467, 16.910856
128, 307.578546, 0.265223, 290.437510, 16.875813
128, 307.228904, 0.263650, 290.082614, 16.882639
256, 314.653448, 0.369737, 296.892029, 17.391682
256, 315.071770, 0.370904, 297.275055, 17.425812
256, 315.389556, 0.373475, 297.567311, 17.448769
256, 314.416476, 0.370757, 296.657400, 17.388319
256, 314.823938, 0.369559, 297.088936, 17.365443
256, 314.823765, 0.369574, 297.083412, 17.370778
256, 314.498348, 0.368793, 296.763582, 17.365973
256, 319.783770, 0.381447, 301.683154, 17.719169
256, 318.055867, 0.375843, 300.092272, 17.587753
