N,ns per cell total,react,vel_step,dens_step
2, 5742.651410, 162.515789, 4960.107617, 620.028004
2, 1744.151780, 26.134412, 1420.893744, 297.123624
2, 1741.722205, 26.223879, 1419.611007, 295.887319
2, 1777.343471, 26.740071, 1448.501156, 302.102244
2, 1736.931505, 26.145802, 1415.501710, 295.283993
2, 1739.892806, 26.157481, 1417.749170, 295.986155
2, 1747.965314, 26.283087, 1423.816289, 297.865938
2, 1737.506994, 26.108828, 1415.453723, 295.944443
2, 1739.689773, 26.089326, 1417.610235, 295.990212
2, 1735.540752, 26.051974, 1414.612538, 294.876240
4, 2968.736226, 59.982995, 2361.251973, 547.501259
4, 1130.302816, 14.666815, 892.521619, 223.114381
4, 1134.391198, 14.662279, 895.858077, 223.870842
4, 1130.036284, 14.589267, 892.381114, 223.065902
4, 1130.148535, 14.586533, 892.462119, 223.099883
4, 1130.341202, 14.617410, 892.680329, 223.043463
4, 1130.361646, 14.580191, 892.637617, 223.143839
4, 1131.161374, 14.604629, 893.247704, 223.309041
4, 1131.362335, 14.656916, 893.364231, 223.341188
4, 1130.838436, 14.575214, 892.973968, 223.289254
8, 1065.309334, 11.874363, 844.687747, 208.747224
8, 1040.988439, 8.428266, 826.618572, 205.941601
8, 1039.173030, 8.398563, 825.226762, 205.547705
8, 1042.520461, 8.470979, 827.804317, 206.245165
8, 1062.427684, 8.644929, 843.563345, 210.219410
8, 1042.186814, 8.496991, 827.354087, 206.335736
8, 1040.027958, 8.484507, 825.417940, 206.125511
8, 1039.891593, 8.491779, 825.780392, 205.619422
8, 1039.852102, 8.480939, 825.725739, 205.645423
8, 1040.290071, 8.499062, 826.214826, 205.576183
16, 982.734491, 7.032213, 781.170456, 194.531822
16, 979.907071, 6.391697, 778.542312, 194.973062
16, 979.423563, 6.335930, 778.096398, 194.991235
16, 978.633745, 6.326807, 777.516220, 194.790717
16, 984.410476, 6.376420, 782.294032, 195.740025
16, 978.846127, 6.329698, 777.893727, 194.622702
16, 978.872129, 6.358979, 777.489526, 195.023624
16, 979.506814, 6.349954, 778.264180, 194.892679
16, 980.358311, 6.326455, 779.059996, 194.971860
16, 979.404872, 6.318048, 778.141871, 194.944953
32, 1457.843609, 12.968940, 1251.729827, 193.144842
32, 972.468262, 5.574286, 771.606866, 195.287109
32, 968.224107, 5.349829, 769.419587, 193.454690
32, 966.999258, 5.286129, 768.385350, 193.327779
32, 966.988737, 5.293714, 768.359475, 193.335548
32, 970.257647, 5.288493, 770.987007, 193.982147
32, 990.208768, 5.390965, 786.784238, 198.033565
32, 966.711135, 5.266575, 768.153881, 193.290680
32, 968.015242, 5.273434, 769.270935, 193.470873
32, 968.847900, 5.279494, 769.829967, 193.738438
64, 970.933229, 5.009838, 770.681595, 195.241796
64, 977.979329, 5.366815, 772.309349, 200.303166
64, 977.044629, 5.196886, 776.792620, 195.055122
64, 972.916635, 5.165385, 773.770563, 193.980687
64, 972.236520, 5.163083, 772.981654, 194.091783
64, 973.572783, 5.168327, 773.922606, 194.481850
64, 972.395158, 5.180518, 773.124025, 194.090615
64, 973.933561, 5.204588, 774.625597, 194.103376
64, 972.057968, 5.159406, 772.171325, 194.727237
64, 972.065414, 5.185422, 772.731202, 194.148791
128, 984.120987, 4.694812, 778.507456, 200.918720
128, 971.648521, 4.952792, 770.778505, 195.917224
128, 976.059726, 4.927658, 772.270693, 198.861375
128, 978.206094, 4.936721, 773.644551, 199.624821
128, 975.353813, 4.918652, 771.049172, 199.385989
128, 974.592664, 4.817024, 771.450668, 198.324973
128, 972.785779, 4.787647, 770.455849, 197.542282
128, 994.081808, 4.937172, 787.931888, 201.212748
128, 967.291760, 4.778218, 768.729056, 193.784486
128, 969.732916, 4.804661, 770.662924, 194.265331
256, 1006.231081, 11.503154, 799.043015, 195.684912
256, 979.951936, 5.171341, 779.191366, 195.589229
256, 975.145135, 4.739962, 775.259763, 195.145410
256, 976.222410, 4.761469, 775.531104, 195.929836
256, 980.262353, 4.754153, 778.531775, 196.976425
256, 975.748728, 4.748024, 774.694675, 196.306029
256, 978.613251, 4.793598, 776.264434, 197.555219
256, 976.876742, 4.769785, 774.956658, 197.150299
256, 979.465456, 4.806942, 776.642659, 198.015856
256, 977.720058, 4.752531, 775.215440, 197.752087
