N,ns per cell total,react,vel_step,dens_step
2, 159.058098, 9.275461, 123.679712, 26.102924
2, 158.972916, 9.273193, 123.535066, 26.164656
2, 158.647013, 9.270487, 123.203155, 26.173371
2, 158.641179, 9.267114, 123.315828, 26.058237
2, 159.675997, 9.334174, 123.993546, 26.348278
2, 159.507032, 9.275620, 124.000933, 26.230480
2, 159.429870, 9.275089, 123.921311, 26.233469
2, 164.191692, 9.556269, 127.755709, 26.879715
2, 159.344524, 9.250719, 123.947458, 26.146347
4, 101.374983, 2.131119, 85.608360, 13.635503
4, 100.590027, 2.116774, 84.920025, 13.553229
4, 100.676688, 2.117614, 85.001180, 13.557893
4, 100.815354, 2.119713, 85.126362, 13.569279
4, 100.849673, 2.118213, 85.157914, 13.573546
4, 101.113643, 2.126302, 85.382204, 13.605137
4, 100.721027, 2.118059, 85.038539, 13.564430
4, 100.979444, 2.120593, 85.275081, 13.583770
4, 100.950816, 2.122003, 85.240716, 13.588098
8, 109.947864, 0.674615, 100.566146, 8.707103
8, 110.553334, 0.674872, 101.157950, 8.720512
8, 110.790067, 0.680016, 101.331188, 8.778864
8, 109.659366, 0.671733, 100.354758, 8.632875
8, 109.839935, 0.674245, 100.502874, 8.662816
8, 109.778089, 0.673754, 100.410050, 8.694285
8, 110.223456, 0.675789, 100.795505, 8.752163
8, 109.687389, 0.671913, 100.298440, 8.717036
8, 110.620429, 0.677646, 101.228851, 8.713931
16, 124.859951, 0.332269, 115.199062, 9.328619
16, 122.430760, 0.324978, 112.950482, 9.155300
16, 122.982499, 0.327156, 113.459362, 9.195981
16, 122.650145, 0.325971, 113.139578, 9.184596
16, 122.451203, 0.325814, 112.954069, 9.171320
16, 122.500757, 0.326133, 113.004681, 9.169942
16, 122.511562, 0.325580, 113.020161, 9.165820
16, 122.826317, 0.326223, 113.324753, 9.175341
16, 122.478306, 0.325825, 113.004686, 9.147794
32, 132.302230, 0.213253, 122.235535, 9.853441
32, 132.330649, 0.213412, 122.258929, 9.858308
32, 132.290134, 0.212797, 122.224563, 9.852774
32, 132.861877, 0.213725, 122.756194, 9.891958
32, 132.343709, 0.212913, 122.274226, 9.856569
32, 132.386883, 0.212918, 122.320351, 9.853614
32, 132.580630, 0.213507, 122.496546, 9.870577
32, 132.548199, 0.213178, 122.462908, 9.872113
32, 132.510103, 0.214178, 122.427313, 9.868612
64, 145.441525, 0.244734, 134.553572, 10.643219
64, 147.402771, 0.247542, 136.371840, 10.783389
64, 144.125969, 0.241936, 133.339277, 10.544756
64, 144.425648, 0.242879, 133.610112, 10.572656
64, 144.461834, 0.243052, 133.644605, 10.574177
64, 144.979389, 0.243277, 134.125439, 10.610674
64, 144.273420, 0.242807, 133.478408, 10.552205
64, 144.661227, 0.242971, 133.835686, 10.582571
64, 144.483533, 0.242640, 133.667002, 10.573891
128, 150.922134, 0.235582, 139.772936, 10.913616
128, 150.842816, 0.235508, 139.704948, 10.902360
128, 151.004857, 0.235153, 139.869323, 10.900381
128, 150.547436, 0.235051, 139.436990, 10.875395
128, 150.932062, 0.235329, 139.801095, 10.895638
128, 150.592637, 0.235007, 139.477292, 10.880338
128, 151.166425, 0.235705, 140.007344, 10.923376
128, 150.575374, 0.234708, 139.466660, 10.874006
128, 150.762532, 0.235855, 139.638891, 10.887786
256, 155.317790, 0.388280, 143.015168, 11.914342
256, 155.148567, 0.386141, 142.874923, 11.887503
256, 157.315894, 0.392175, 144.858534, 12.065185
256, 156.693988, 0.391335, 144.300223, 12.002430
256, 154.808507, 0.386135, 142.557714, 11.864657
256, 155.195906, 0.386826, 142.903887, 11.905193
256, 155.387679, 0.390351, 143.078705, 11.918623
256, 155.395960, 0.389132, 143.105746, 11.901082
256, 155.380859, 0.387754, 143.073241, 11.919864
