N,ns per cell total,react,vel_step,dens_step
2, 559.895126, 9.253701, 436.673267, 113.968158
2, 554.499512, 9.163468, 432.443583, 112.892461
2, 556.087994, 9.189402, 434.042384, 112.856208
2, 556.745859, 9.187897, 434.502789, 113.055172
2, 562.302997, 9.294235, 438.713971, 114.294790
2, 560.963814, 9.276452, 437.395362, 114.292000
2, 553.793253, 9.137675, 431.997921, 112.657657
2, 555.474598, 9.180469, 433.228871, 113.065257
2, 555.158541, 9.188248, 433.100596, 112.869698
4, 358.255594, 2.119337, 284.104300, 72.031957
4, 359.686237, 2.121066, 285.233335, 72.331836
4, 358.342459, 2.114882, 283.817335, 72.410242
4, 358.282894, 2.118382, 284.003696, 72.160816
4, 358.078220, 2.114467, 283.747834, 72.215919
4, 359.913301, 2.128756, 285.216586, 72.567958
4, 358.771724, 2.126246, 284.537135, 72.108343
4, 357.829098, 2.113079, 283.771439, 71.944580
4, 357.973207, 2.113631, 283.723811, 72.135766
8, 305.847989, 0.675638, 243.931932, 61.240418
8, 305.427181, 0.673336, 243.602639, 61.151206
8, 307.016186, 0.677680, 244.928326, 61.410180
8, 305.444054, 0.676608, 243.666213, 61.101232
8, 305.430269, 0.674165, 243.657573, 61.098531
8, 305.749018, 0.675933, 243.948785, 61.124299
8, 312.947454, 0.694186, 249.660861, 62.592407
8, 305.298122, 0.679919, 243.503039, 61.115164
8, 305.516850, 0.673571, 243.729971, 61.113308
16, 275.864630, 0.325241, 219.942115, 55.597274
16, 276.004881, 0.325291, 220.073780, 55.605810
16, 276.117464, 0.325734, 220.177813, 55.613917
16, 275.983658, 0.325331, 220.104078, 55.554248
16, 276.603559, 0.326484, 220.603073, 55.674002
16, 277.192966, 0.326902, 221.087287, 55.778777
16, 278.822843, 0.328958, 222.384731, 56.109153
16, 276.026360, 0.327103, 220.114627, 55.584630
16, 275.369526, 0.324910, 219.598323, 55.446294
32, 304.500513, 0.215455, 242.962756, 61.322303
32, 302.987000, 0.214119, 241.769973, 61.002909
32, 303.059755, 0.214387, 241.824306, 61.021062
32, 302.729790, 0.213879, 241.561094, 60.954818
32, 304.727037, 0.215226, 243.129141, 61.382670
32, 304.074809, 0.214842, 242.633719, 61.226248
32, 303.039846, 0.214234, 241.792596, 61.033016
32, 305.536279, 0.215753, 243.792217, 61.528308
32, 306.159210, 0.216270, 244.292498, 61.650441
64, 351.265112, 0.242216, 280.285992, 70.736904
64, 353.149943, 0.243520, 281.803858, 71.102564
64, 352.260428, 0.242970, 281.090618, 70.926839
64, 352.266462, 0.243109, 281.108291, 70.915062
64, 351.709236, 0.242461, 280.640030, 70.826744
64, 352.330836, 0.243382, 281.109902, 70.977551
64, 353.499649, 0.244107, 282.057350, 71.198192
64, 352.860375, 0.243527, 281.536936, 71.079912
64, 352.068439, 0.242946, 280.910574, 70.914918
128, 378.055837, 0.242884, 301.677823, 76.135130
128, 378.740987, 0.238841, 302.231022, 76.271125
128, 379.463333, 0.240253, 302.818863, 76.404218
128, 378.843649, 0.239370, 302.403488, 76.200792
128, 377.814849, 0.238653, 301.524559, 76.051638
128, 378.779806, 0.239442, 302.322253, 76.218110
128, 377.856654, 0.238637, 301.569292, 76.048724
128, 380.245272, 0.241266, 303.366983, 76.637023
128, 378.784084, 0.239288, 302.268521, 76.276274
256, 402.127340, 0.399933, 320.595773, 81.131634
256, 390.691348, 0.386360, 311.552919, 78.752069
256, 390.847748, 0.385629, 311.678697, 78.783422
256, 391.772711, 0.388118, 312.381000, 79.003593
256, 390.924056, 0.388688, 311.736265, 78.799102
256, 391.030288, 0.389637, 311.776522, 78.864129
256, 390.796245, 0.386352, 311.651243, 78.758649
256, 390.759426, 0.386200, 311.599817, 78.773408
256, 391.971235, 0.388155, 312.561797, 79.021282
