N,ns per cell total,react,vel_step,dens_step
2, 537.939224, 9.272106, 421.370847, 107.296271
2, 536.167223, 9.246490, 419.997755, 106.922978
2, 535.155659, 9.225341, 419.040868, 106.889450
2, 536.258455, 9.236707, 420.211005, 106.810743
2, 534.689923, 9.215833, 418.894605, 106.579486
2, 536.416648, 9.246592, 420.012832, 107.157224
2, 534.932276, 9.224351, 418.967811, 106.740114
2, 535.579259, 9.242286, 419.468208, 106.868765
2, 535.399552, 9.238735, 419.400789, 106.760028
4, 338.237879, 2.132659, 268.732104, 67.373116
4, 337.612790, 2.124910, 268.187218, 67.300662
4, 336.604197, 2.118560, 267.300427, 67.185209
4, 336.943387, 2.119952, 267.640985, 67.182450
4, 336.790660, 2.119901, 267.530862, 67.139896
4, 336.548852, 2.121929, 267.333755, 67.093168
4, 337.160600, 2.121700, 267.690566, 67.348334
4, 341.178939, 2.150206, 271.026807, 68.001926
4, 339.390359, 2.137176, 269.649778, 67.603406
8, 234.404542, 0.675428, 189.914948, 43.814166
8, 235.190538, 0.674008, 190.771002, 43.745528
8, 236.549312, 0.678251, 192.027285, 43.843776
8, 236.100333, 0.676087, 191.486751, 43.937494
8, 235.550837, 0.674844, 191.086657, 43.789337
8, 234.851005, 0.676204, 190.268671, 43.906131
8, 236.050943, 0.677112, 191.455801, 43.918030
8, 235.154140, 0.674547, 190.656138, 43.823454
8, 235.466217, 0.677519, 190.779584, 44.009114
16, 248.748973, 0.325915, 198.527799, 49.895259
16, 248.712405, 0.325988, 198.505151, 49.881266
16, 249.029717, 0.325919, 198.720357, 49.983440
16, 249.069496, 0.326086, 198.775349, 49.968061
16, 249.654996, 0.327043, 199.223009, 50.104945
16, 248.429577, 0.326296, 198.222538, 49.880743
16, 248.709966, 0.327109, 198.444799, 49.938058
16, 248.309996, 0.325548, 198.159078, 49.825369
16, 248.878730, 0.325957, 198.607210, 49.945562
32, 270.039498, 0.221236, 215.670312, 54.147950
32, 263.417114, 0.215032, 210.352562, 52.849520
32, 263.233035, 0.214445, 210.203486, 52.815104
32, 263.826251, 0.215031, 210.678623, 52.932597
32, 262.846997, 0.214443, 209.895206, 52.737348
32, 264.227640, 0.215221, 210.993466, 53.018953
32, 262.876249, 0.214278, 209.930530, 52.731441
32, 263.387511, 0.214524, 210.334194, 52.838793
32, 263.072659, 0.215007, 210.073785, 52.783867
64, 335.136574, 0.239196, 267.300134, 67.597244
64, 335.361333, 0.239536, 267.471138, 67.650660
64, 334.682318, 0.238720, 266.946176, 67.497421
64, 333.904776, 0.239459, 266.333925, 67.331392
64, 334.800832, 0.238919, 267.012928, 67.548985
64, 334.173600, 0.238977, 266.532266, 67.402357
64, 335.381761, 0.239232, 267.473741, 67.668789
64, 334.602791, 0.238507, 266.921950, 67.442334
64, 334.964808, 0.240089, 267.174207, 67.550512
128, 371.298930, 0.239875, 296.446055, 74.612999
128, 375.611222, 0.241851, 299.818654, 75.550717
128, 375.283372, 0.241317, 299.507392, 75.534663
128, 369.587228, 0.240840, 294.949959, 74.396429
128, 371.001804, 0.237830, 296.038884, 74.725090
128, 370.937231, 0.237490, 296.051600, 74.648141
128, 370.963765, 0.238041, 296.010169, 74.715555
128, 370.752291, 0.238396, 295.903503, 74.610391
128, 371.033789, 0.238327, 296.088257, 74.707205
256, 398.422102, 0.383575, 318.709496, 79.329031
256, 399.305128, 0.383246, 319.284731, 79.637151
256, 400.231936, 0.392421, 320.011939, 79.827577
256, 401.495486, 0.385383, 321.041810, 80.068293
256, 399.568743, 0.383539, 319.503846, 79.681357
256, 398.795134, 0.384299, 318.956172, 79.454664
256, 399.507703, 0.383419, 319.509394, 79.614890
256, 399.501067, 0.384363, 319.353416, 79.763289
256, 400.556507, 0.382824, 320.374688, 79.798995
