N,ns per cell total,react,vel_step,dens_step
2, 168.954139, 9.192546, 134.501722, 25.259871
2, 168.611773, 9.177628, 134.186194, 25.247951
2, 169.162250, 9.214517, 134.644124, 25.303609
2, 173.148519, 9.417584, 137.815024, 25.915911
2, 168.168539, 9.154551, 133.826944, 25.187044
2, 168.718030, 9.177780, 134.359247, 25.181002
2, 168.596305, 9.179554, 134.181688, 25.235063
2, 169.653019, 9.230857, 135.065389, 25.356773
2, 168.538945, 9.171192, 134.209938, 25.157816
4, 107.306292, 2.121999, 91.616784, 13.567510
4, 107.274730, 2.122946, 91.578976, 13.572809
4, 107.151142, 2.121389, 91.476062, 13.553691
4, 107.286210, 2.124284, 91.591487, 13.570439
4, 107.200696, 2.122275, 91.515853, 13.562567
4, 107.034021, 2.116385, 91.382353, 13.535283
4, 107.170398, 2.122241, 91.479566, 13.568590
4, 107.406987, 2.124210, 91.678955, 13.603822
4, 107.541792, 2.126613, 91.797169, 13.618010
8, 101.739712, 0.671469, 92.364068, 8.704175
8, 101.275154, 0.671233, 91.940165, 8.663756
8, 101.286492, 0.668693, 91.959438, 8.658362
8, 101.335894, 0.668958, 92.016101, 8.650834
8, 102.252080, 0.677239, 92.824981, 8.749860
8, 102.961340, 0.679719, 93.514573, 8.767048
8, 101.061822, 0.666439, 91.770736, 8.624646
8, 101.239245, 0.667588, 91.933700, 8.637957
8, 101.267389, 0.668674, 91.951735, 8.646980
16, 117.511040, 0.327121, 108.679743, 8.504176
16, 118.128289, 0.329414, 109.248748, 8.550127
16, 117.070046, 0.325952, 108.288550, 8.455544
16, 117.346048, 0.326856, 108.522617, 8.496575
16, 116.976655, 0.326241, 108.177256, 8.473157
16, 118.353843, 0.329290, 109.468381, 8.556173
16, 117.206468, 0.325901, 108.416378, 8.464189
16, 117.163692, 0.326610, 108.380312, 8.456769
16, 117.199501, 0.327773, 108.399765, 8.471963
32, 125.991430, 0.215209, 116.295103, 9.481118
32, 126.316856, 0.214982, 116.594796, 9.507077
32, 125.778921, 0.214048, 116.102350, 9.462523
32, 125.818396, 0.214099, 116.138525, 9.465772
32, 127.788709, 0.217685, 117.956042, 9.614981
32, 129.858945, 0.221117, 119.865995, 9.771834
32, 130.735854, 0.222633, 120.672134, 9.841086
32, 128.816849, 0.219508, 118.905154, 9.692187
32, 129.048823, 0.219608, 119.121634, 9.707581
64, 144.414485, 0.242634, 133.250171, 10.921680
64, 144.434764, 0.243976, 133.280813, 10.909975
64, 144.965212, 0.243108, 133.766687, 10.955417
64, 144.461056, 0.241745, 133.290387, 10.928924
64, 143.879600, 0.240872, 132.755450, 10.883278
64, 144.122690, 0.242175, 132.976493, 10.904022
64, 144.413340, 0.241519, 133.267353, 10.904468
64, 144.249682, 0.241861, 133.110641, 10.897179
64, 144.657951, 0.242282, 133.381590, 11.034079
128, 151.917422, 0.243064, 140.386040, 11.288318
128, 152.058633, 0.241814, 140.497240, 11.319579
128, 151.377283, 0.243551, 139.837570, 11.296163
128, 150.898085, 0.239614, 139.415673, 11.242798
128, 150.898261, 0.241597, 139.404514, 11.252150
128, 150.924945, 0.241056, 139.406727, 11.277163
128, 151.124732, 0.241161, 139.612722, 11.270849
128, 151.970904, 0.242724, 140.381382, 11.346798
128, 153.040806, 0.242650, 141.380412, 11.417745
256, 165.929638, 0.396953, 152.663581, 12.869105
256, 168.019289, 0.394316, 154.515233, 13.109740
256, 167.953237, 0.397719, 154.439895, 13.115623
256, 168.056834, 0.395523, 154.557280, 13.104031
256, 168.027625, 0.397096, 154.495155, 13.135374
256, 170.065772, 0.399650, 156.382152, 13.283970
256, 167.374021, 0.392544, 153.935128, 13.046349
256, 167.660733, 0.392055, 154.145366, 13.123312
256, 168.538836, 0.393507, 155.003321, 13.142008
