N,ns per cell total,react,vel_step,dens_step
2, 158.451987, 9.313770, 122.528601, 26.609616
2, 158.161267, 9.319060, 122.475316, 26.366891
2, 160.859768, 9.464818, 124.588662, 26.806289
2, 157.806186, 9.292276, 122.145856, 26.368054
2, 157.250447, 9.251091, 121.792475, 26.206881
2, 158.321012, 9.304141, 122.657311, 26.359560
2, 157.703722, 9.270351, 122.206787, 26.226584
2, 157.839493, 9.279769, 122.268907, 26.290817
2, 157.895041, 9.304114, 122.198178, 26.392749
4, 100.820400, 2.119036, 85.152388, 13.548977
4, 100.707818, 2.116606, 85.027797, 13.563416
4, 100.690684, 2.117003, 85.020932, 13.552749
4, 100.579175, 2.116533, 84.933638, 13.529005
4, 101.267469, 2.131320, 85.428306, 13.707843
4, 100.606652, 2.117346, 84.915657, 13.573649
4, 100.778740, 2.118087, 85.097576, 13.563076
4, 100.647823, 2.117351, 84.963019, 13.567454
4, 100.846392, 2.122715, 85.149514, 13.574164
8, 110.770295, 0.677874, 101.311933, 8.780488
8, 110.087634, 0.677144, 100.667192, 8.743297
8, 110.087360, 0.674861, 100.655093, 8.757406
8, 112.966057, 0.691385, 103.301732, 8.972940
8, 110.344963, 0.675596, 100.948085, 8.721282
8, 109.697401, 0.673181, 100.324745, 8.699475
8, 109.606029, 0.672824, 100.236994, 8.696211
8, 109.891291, 0.673100, 100.471044, 8.747147
8, 110.053004, 0.674948, 100.674065, 8.703991
16, 122.948374, 0.326385, 113.431477, 9.190512
16, 123.008258, 0.327182, 113.472742, 9.208334
16, 122.848596, 0.325397, 113.339730, 9.183470
16, 122.654464, 0.325571, 113.146896, 9.181997
16, 122.580568, 0.326220, 113.083824, 9.170524
16, 122.660384, 0.326342, 113.155477, 9.178565
16, 122.940426, 0.326256, 113.414772, 9.199398
16, 122.605130, 0.326271, 113.094997, 9.183862
16, 122.528811, 0.325702, 113.030701, 9.172407
32, 132.802346, 0.213344, 122.713481, 9.875522
32, 132.571449, 0.213083, 122.499145, 9.859221
32, 132.906043, 0.213460, 122.808546, 9.884038
32, 132.630757, 0.213269, 122.549343, 9.868145
32, 133.138405, 0.213965, 123.030387, 9.894053
32, 135.471037, 0.217467, 125.189669, 10.063901
32, 132.358171, 0.213076, 122.310480, 9.834615
32, 132.443247, 0.213143, 122.384191, 9.845913
32, 132.488572, 0.213102, 122.421422, 9.854047
64, 144.475117, 0.243008, 133.671661, 10.560448
64, 144.178633, 0.242330, 133.392831, 10.543472
64, 144.341717, 0.243180, 133.541803, 10.556734
64, 144.213832, 0.242376, 133.424239, 10.547217
64, 144.733958, 0.243676, 133.905162, 10.585120
64, 144.206334, 0.242703, 133.418428, 10.545203
64, 144.221375, 0.242451, 133.431607, 10.547316
64, 144.127544, 0.243238, 133.344117, 10.540189
64, 144.262995, 0.242770, 133.470495, 10.549729
128, 150.772165, 0.238561, 139.635844, 10.897759
128, 150.405809, 0.237792, 139.304947, 10.863070
128, 150.314350, 0.236907, 139.214205, 10.863237
128, 150.427460, 0.237198, 139.316474, 10.873788
128, 150.374316, 0.237231, 139.272913, 10.864172
128, 150.382253, 0.236959, 139.277864, 10.867431
128, 154.512228, 0.244239, 143.098393, 11.169596
128, 150.407463, 0.238194, 139.303682, 10.865587
128, 150.406155, 0.237929, 139.293422, 10.874804
256, 154.901729, 0.393952, 142.630107, 11.877670
256, 155.321906, 0.395466, 143.029619, 11.896820
256, 154.927327, 0.395925, 142.653728, 11.877673
256, 155.002310, 0.394815, 142.722887, 11.884608
256, 155.068996, 0.394749, 142.788341, 11.885905
256, 155.339383, 0.395730, 143.025178, 11.918475
256, 155.137956, 0.394936, 142.842360, 11.900660
256, 154.958808, 0.393859, 142.676372, 11.888577
256, 154.963276, 0.393756, 142.669939, 11.899581
