N,ns_per_cell,react,vel_step,dens_step
128, 77.019735, 0.302123, 59.668025, 17.049587
128, 77.192774, 0.238724, 59.920950, 17.033100
128, 77.268575, 0.239164, 59.985719, 17.043691
128, 76.710624, 0.236990, 59.553688, 16.919946
128, 77.016487, 0.238035, 59.789326, 16.989126
128, 76.655469, 0.237006, 59.506160, 16.912302
128, 77.264896, 0.238573, 59.979962, 17.046361
128, 77.395957, 0.239102, 60.078029, 17.078826
128, 77.143893, 0.238414, 59.890052, 17.015427
128, 76.911525, 0.238041, 59.703882, 16.969602
256, 90.801286, 0.959474, 71.787753, 18.054060
256, 79.454282, 0.391163, 61.448338, 17.614781
256, 79.194533, 0.388788, 61.260343, 17.545403
256, 79.079589, 0.387660, 61.207187, 17.484741
256, 78.924210, 0.387705, 61.072778, 17.463727
256, 78.994546, 0.386919, 61.113848, 17.493779
256, 79.978529, 0.393106, 61.880318, 17.705105
256, 79.657304, 0.391593, 61.625370, 17.640341
256, 79.571883, 0.389977, 61.554016, 17.627890
256, 79.135974, 0.387998, 61.194625, 17.553352
512, 82.954561, 0.527992, 64.066651, 18.359918
512, 81.417389, 0.392536, 63.071442, 17.953411
512, 81.467393, 0.388120, 63.151775, 17.927498
512, 81.850662, 0.391873, 63.439059, 18.019730
512, 81.536667, 0.388489, 63.221902, 17.926275
512, 81.964021, 0.386514, 63.541991, 18.035516
512, 82.335972, 0.396665, 63.910494, 18.028813
512, 81.708744, 0.396521, 63.328898, 17.983324
512, 81.544388, 0.393976, 63.204901, 17.945511
512, 82.021932, 0.393931, 63.516028, 18.111973
1024, 104.786128, 0.399036, 80.092418, 24.294673
1024, 103.460542, 0.424410, 79.490592, 23.545540
1024, 103.736782, 0.417524, 79.714998, 23.604260
1024, 102.979306, 0.417226, 79.123568, 23.438513
1024, 103.851398, 0.426906, 79.806475, 23.618017
1024, 102.894467, 0.413954, 79.004388, 23.476125
1024, 104.347978, 0.420850, 80.181924, 23.745203
1024, 103.389377, 0.420457, 79.377136, 23.591784
1024, 104.134068, 0.416519, 80.074862, 23.642687
1024, 103.907052, 0.412819, 79.877404, 23.616829
2048, 146.359402, 0.611751, 119.894964, 25.852687
2048, 144.854189, 0.658520, 118.763073, 25.432596
2048, 145.139942, 0.628275, 118.928337, 25.583330
2048, 143.667258, 0.599178, 117.829757, 25.238323
2048, 145.821675, 0.710198, 119.824268, 25.287209
2048, 145.410119, 0.682726, 119.100037, 25.627355
2048, 145.030847, 0.625590, 118.684106, 25.721150
2048, 144.641562, 0.619982, 118.709826, 25.311754
2048, 144.077870, 0.612170, 118.097788, 25.367911
2048, 144.552329, 0.682642, 118.399168, 25.470520
