N,ns_per_cell,react_vel_step,dens_step
128, 369.187774, 0.273417, 294.654711, 74.259646
128, 369.205097, 0.236785, 294.602110, 74.366202
128, 369.844655, 0.236242, 295.101609, 74.506804
128, 370.845483, 0.238977, 295.830581, 74.775924
128, 368.987380, 0.235924, 294.410940, 74.340516
128, 368.867537, 0.235783, 294.299265, 74.332490
128, 369.216512, 0.236188, 294.579646, 74.400678
128, 368.924339, 0.236114, 294.359986, 74.328238
128, 370.774375, 0.238928, 295.817542, 74.717905
128, 369.801395, 0.236629, 295.063973, 74.500793
256, 399.091981, 0.393065, 319.161991, 79.536925
256, 398.569197, 0.380253, 318.653280, 79.535663
256, 399.637916, 0.381524, 319.541730, 79.714662
256, 399.255628, 0.379964, 319.173065, 79.702599
256, 399.742293, 0.380280, 319.438361, 79.923652
256, 398.527134, 0.381571, 318.545002, 79.600560
256, 398.718609, 0.379757, 318.736567, 79.602285
256, 398.651610, 0.379259, 318.657572, 79.614778
256, 398.604500, 0.379998, 318.615404, 79.609098
256, 400.019604, 0.382084, 319.737695, 79.899826
512, 425.492477, 1.132396, 341.665803, 82.694278
512, 423.067625, 0.408642, 339.612288, 83.046695
512, 423.669814, 0.411488, 340.068267, 83.190059
512, 421.971982, 0.406002, 338.868075, 82.697905
512, 423.901566, 0.405248, 340.040249, 83.456069
512, 422.982733, 0.408986, 339.589904, 82.983844
512, 421.329541, 0.401722, 338.317416, 82.610404
512, 420.980978, 0.402913, 337.980288, 82.597777
512, 422.954272, 0.409046, 339.581467, 82.963759
512, 423.982894, 0.404002, 340.613501, 82.965391
1024, 555.184116, 0.491018, 445.822124, 108.870974
1024, 553.061680, 0.417457, 444.168628, 108.475596
1024, 553.265632, 0.419135, 444.744843, 108.101655
1024, 553.014001, 0.412135, 444.479016, 108.122850
1024, 554.859767, 0.422268, 446.161899, 108.275600
1024, 552.530602, 0.417418, 443.985718, 108.127466
1024, 552.901029, 0.416346, 444.337729, 108.146955
1024, 552.667965, 0.415716, 444.066652, 108.185597
1024, 554.616428, 0.415406, 444.668268, 109.532753
1024, 553.087510, 0.421190, 444.563788, 108.102532
2048, 558.001313, 0.686965, 447.130246, 110.184101
2048, 557.851867, 0.686834, 447.602279, 109.562754
2048, 557.381457, 0.679224, 446.745040, 109.957193
2048, 557.518867, 0.679241, 446.154830, 110.684797
2048, 556.398085, 0.678482, 446.006428, 109.713174
2048, 561.759091, 0.676833, 451.449892, 109.632367
2048, 561.373308, 0.678690, 451.163327, 109.531292
2048, 556.421455, 0.671142, 446.125835, 109.624478
2048, 557.203833, 0.674768, 446.592089, 109.936975
2048, 556.532703, 0.674181, 446.007208, 109.851314
