N,ns_per_cell,react,vel_step,dens_step
128, 39.883446, 0.302748, 30.690273, 8.890424
128, 39.313211, 0.236610, 30.199395, 8.877206
128, 39.281701, 0.236300, 30.174708, 8.870693
128, 39.287239, 0.236473, 30.177753, 8.873012
128, 39.318684, 0.236820, 30.201197, 8.880667
128, 39.369267, 0.237068, 30.241210, 8.890989
128, 39.281624, 0.236636, 30.175838, 8.869150
128, 39.317009, 0.236615, 30.201106, 8.879288
128, 39.275733, 0.236340, 30.171283, 8.868110
128, 39.289307, 0.236553, 30.181252, 8.871501
256, 36.136342, 0.390472, 27.177137, 8.568733
256, 36.161335, 0.371878, 27.275992, 8.513465
256, 35.988557, 0.371625, 27.133960, 8.482972
256, 36.041347, 0.371655, 27.184792, 8.484900
256, 35.931815, 0.371041, 27.102152, 8.458622
256, 35.977407, 0.370713, 27.142863, 8.463830
256, 35.951605, 0.370848, 27.118506, 8.462251
256, 36.009027, 0.372846, 27.155644, 8.480537
256, 35.935373, 0.371114, 27.097744, 8.466514
256, 36.002597, 0.371552, 27.154037, 8.477008
512, 34.956297, 0.408594, 26.197938, 8.349765
512, 36.121645, 0.359432, 27.002700, 8.759514
512, 36.980659, 0.362018, 27.695043, 8.923598
512, 36.843540, 0.359407, 27.589984, 8.894149
512, 36.257848, 0.359670, 27.123462, 8.774716
512, 36.540683, 0.359454, 27.344497, 8.836732
512, 36.628854, 0.359702, 27.414997, 8.854156
512, 36.239074, 0.359274, 27.090368, 8.789432
512, 36.198769, 0.359657, 27.063188, 8.775925
512, 36.267442, 0.359196, 27.100465, 8.807781
1024, 37.003859, 0.488043, 27.349418, 9.166397
1024, 36.852758, 0.389655, 27.275077, 9.188027
1024, 36.801829, 0.370489, 27.221120, 9.210220
1024, 36.945009, 0.388324, 27.327449, 9.229236
1024, 36.856828, 0.380786, 27.263229, 9.212813
1024, 36.908921, 0.399231, 27.296693, 9.212997
1024, 36.866968, 0.384595, 27.260037, 9.222336
1024, 36.929741, 0.385628, 27.314009, 9.230103
1024, 36.965228, 0.384840, 27.337330, 9.243058
1024, 36.988155, 0.396848, 27.338790, 9.252516
2048, 50.361582, 0.672605, 36.901941, 12.787035
2048, 51.238111, 0.490323, 38.007462, 12.740326
2048, 51.001825, 0.503135, 37.677740, 12.820951
2048, 50.718313, 0.491421, 37.449255, 12.777637
2048, 51.295403, 0.495540, 37.869213, 12.930649
2048, 51.274298, 0.491527, 37.870987, 12.911784
2048, 51.158529, 0.488972, 37.854060, 12.815496
2048, 50.596972, 0.504165, 37.241474, 12.851333
2048, 51.074297, 0.493468, 37.778091, 12.802738
2048, 51.038605, 0.507301, 37.740391, 12.790913
