N,ns_per_cell,react,vel_step,dens_step
128, 158.131144, 0.684196, 132.924868, 24.522080
128, 123.343404, 0.226751, 98.275526, 24.841127
128, 123.227170, 0.226362, 98.192914, 24.807894
128, 123.767554, 0.227745, 98.620341, 24.919468
128, 123.037720, 0.226859, 98.030924, 24.779936
128, 124.011143, 0.229171, 98.814164, 24.967808
128, 123.110582, 0.226485, 98.101353, 24.782745
128, 123.624933, 0.226923, 98.521198, 24.876812
128, 123.422333, 0.227728, 98.346207, 24.848397
128, 123.873661, 0.228116, 98.694588, 24.950957
256, 133.280700, 0.396881, 106.434676, 26.449143
256, 132.469617, 0.373129, 105.543714, 26.552775
256, 133.091580, 0.375638, 106.011504, 26.704437
256, 132.729838, 0.373988, 105.765801, 26.590049
256, 132.929246, 0.373735, 105.921071, 26.634440
256, 133.156694, 0.376745, 106.051724, 26.728225
256, 132.738095, 0.375365, 105.734563, 26.628167
256, 132.105754, 0.376140, 105.218167, 26.511447
256, 132.870126, 0.374959, 105.828304, 26.666863
256, 132.784303, 0.373805, 105.781365, 26.629134
512, 135.936798, 0.451012, 107.957890, 27.527896
512, 134.669466, 0.406456, 106.824017, 27.438993
512, 134.644911, 0.408564, 106.756629, 27.479718
512, 134.409985, 0.407419, 106.554073, 27.448493
512, 134.497818, 0.406592, 106.602220, 27.489006
512, 133.928856, 0.406981, 106.097740, 27.424135
512, 134.490855, 0.410421, 106.569202, 27.511232
512, 134.003916, 0.407979, 106.149860, 27.446076
512, 134.474910, 0.406017, 106.591498, 27.477395
512, 134.048169, 0.407327, 106.219372, 27.421471
1024, 151.667272, 0.456180, 120.558955, 30.652136
1024, 150.926392, 0.421238, 120.095830, 30.409324
1024, 150.400625, 0.424143, 119.581561, 30.394922
1024, 150.390072, 0.415761, 119.689394, 30.284917
1024, 150.528280, 0.421847, 119.758070, 30.348363
1024, 149.862543, 0.419603, 119.279141, 30.163799
1024, 151.131947, 0.424036, 120.085191, 30.622720
1024, 150.109714, 0.418233, 119.484439, 30.207043
1024, 150.520396, 0.420474, 119.715233, 30.384689
1024, 150.116022, 0.421644, 119.399348, 30.295030
2048, 203.857143, 0.883861, 166.948374, 36.024908
2048, 202.941743, 0.799241, 166.723474, 35.419028
2048, 203.548627, 0.833941, 167.236715, 35.477971
2048, 203.758053, 0.821501, 167.043977, 35.892574
2048, 203.572175, 0.810794, 167.419121, 35.342260
2048, 203.614785, 0.772579, 167.240849, 35.601356
2048, 203.075218, 0.839500, 166.718410, 35.517309
2048, 203.534395, 0.799219, 167.330001, 35.405175
2048, 203.114960, 0.782519, 166.955567, 35.376874
2048, 203.301528, 0.789283, 167.149641, 35.362604
