N,ns_per_cell,react_vel_step,dens_step
128, 666.133730, 0.697014, 549.947146, 115.489570
128, 564.139734, 0.225913, 450.607687, 113.306134
128, 568.602225, 0.228147, 454.269221, 114.104858
128, 565.404095, 0.226920, 451.643024, 113.534151
128, 564.927163, 0.225758, 451.247773, 113.453633
128, 564.025445, 0.225624, 450.530182, 113.269639
128, 566.956329, 0.226385, 452.888236, 113.841708
128, 567.768326, 0.229921, 453.485779, 114.052626
128, 564.991834, 0.227145, 451.315318, 113.449371
128, 563.970957, 0.225466, 450.459179, 113.286311
256, 615.903602, 0.927585, 494.118261, 120.857756
256, 607.363876, 0.366352, 486.140952, 120.856572
256, 608.044434, 0.366081, 486.746433, 120.931919
256, 609.524680, 0.366206, 487.893150, 121.265324
256, 607.222574, 0.368148, 486.052182, 120.802244
256, 607.324291, 0.365690, 486.114773, 120.843828
256, 607.209274, 0.367725, 486.035062, 120.806487
256, 607.257802, 0.366176, 486.018483, 120.873143
256, 608.829734, 0.365770, 487.523616, 120.940347
256, 609.380409, 0.366323, 487.771818, 121.242267
512, 637.819801, 0.402832, 511.668167, 125.748802
512, 639.590251, 0.399704, 513.282605, 125.907942
512, 640.786234, 0.399875, 514.353581, 126.032778
512, 637.816752, 0.401802, 511.571153, 125.843797
512, 640.729988, 0.398884, 514.194700, 126.136404
512, 638.840338, 0.401172, 512.130414, 126.308752
512, 638.706606, 0.400486, 512.022996, 126.283125
512, 637.837231, 0.400385, 511.566398, 125.870449
512, 638.554477, 0.399533, 512.300250, 125.854695
512, 640.246163, 0.403308, 513.902659, 125.940195
1024, 1119.387946, 0.538159, 893.857764, 224.992022
1024, 1116.811164, 0.429878, 894.085340, 222.295946
1024, 1116.266778, 0.412626, 893.593434, 222.260717
1024, 1115.605081, 0.415888, 892.648458, 222.540735
1024, 1119.513545, 0.417957, 896.453161, 222.642426
1024, 1114.999077, 0.417309, 892.240866, 222.340902
1024, 1116.840118, 0.412055, 894.008874, 222.419189
1024, 1116.403278, 0.416479, 892.283848, 223.702950
1024, 1118.970170, 0.424976, 896.169996, 222.375197
1024, 1116.523478, 0.416689, 893.668479, 222.438310
2048, 1128.025469, 0.939897, 901.497259, 225.588313
2048, 1127.167974, 0.849557, 901.045287, 225.273130
2048, 1127.730082, 0.891240, 900.709285, 226.129557
2048, 1127.781402, 0.889566, 900.804410, 226.087426
2048, 1126.486049, 0.888372, 900.142149, 225.455528
2048, 1127.539390, 0.871828, 901.258950, 225.408612
2048, 1127.207137, 0.915315, 900.998986, 225.292836
2048, 1127.195316, 0.901850, 900.852768, 225.440698
2048, 1127.183002, 0.910023, 900.962088, 225.310891
2048, 1127.465225, 0.906232, 901.288443, 225.270551
