N,ns_per_cell,react,vel_step,dens_step
128, 166.944034, 0.445567, 139.439749, 27.058718
128, 132.731175, 0.251841, 105.664222, 26.815112
128, 133.181394, 0.254647, 106.027766, 26.898981
128, 133.059944, 0.253105, 105.927075, 26.879765
128, 133.678147, 0.255845, 106.425497, 26.996805
128, 133.453333, 0.254262, 106.235128, 26.963943
128, 133.701576, 0.255345, 106.435879, 27.010352
128, 133.535827, 0.256051, 106.300891, 26.978885
128, 133.595891, 0.254778, 106.357105, 26.984008
128, 133.576661, 0.254791, 106.342514, 26.979356
256, 144.902721, 0.487056, 114.673064, 29.742601
256, 144.739281, 0.403335, 114.914523, 29.421423
256, 144.688581, 0.405811, 114.878104, 29.404667
256, 144.507676, 0.403657, 114.746467, 29.357552
256, 144.854151, 0.403998, 115.002484, 29.447668
256, 144.443028, 0.407639, 114.720159, 29.315230
256, 145.398114, 0.404599, 115.620188, 29.373327
256, 144.517565, 0.405253, 114.758104, 29.354208
256, 144.576038, 0.402970, 114.807546, 29.365522
256, 144.601886, 0.406634, 114.801538, 29.393715
512, 146.097248, 0.533294, 115.983784, 29.580169
512, 145.543432, 0.438682, 115.588036, 29.516714
512, 144.687125, 0.439343, 115.030830, 29.216952
512, 145.195846, 0.438744, 115.319338, 29.437764
512, 144.823960, 0.439648, 115.012684, 29.371627
512, 145.335241, 0.440001, 115.339894, 29.555346
512, 144.673285, 0.439761, 114.938416, 29.295108
512, 145.061825, 0.438314, 115.137136, 29.486375
512, 144.845054, 0.439350, 115.027237, 29.378466
512, 144.937406, 0.438980, 115.039465, 29.458961
1024, 168.957538, 0.547915, 133.707860, 34.701763
1024, 166.879962, 0.460725, 132.197361, 34.221876
1024, 166.982357, 0.456092, 132.325030, 34.201235
1024, 167.084751, 0.459517, 132.336540, 34.288694
1024, 167.882184, 0.448424, 133.023590, 34.410170
1024, 168.535023, 0.469286, 133.527904, 34.537833
1024, 167.582863, 0.456843, 132.852703, 34.273317
1024, 167.957271, 0.471746, 133.121450, 34.364075
1024, 168.291866, 0.549337, 132.950472, 34.792058
1024, 167.305099, 0.449327, 132.651838, 34.203934
2048, 219.885991, 0.861311, 180.438497, 38.586183
2048, 219.231676, 0.828270, 180.001810, 38.401596
2048, 219.454333, 0.853864, 179.995338, 38.605130
2048, 219.414679, 0.855105, 180.221607, 38.337967
2048, 220.096927, 0.848420, 180.706618, 38.541890
2048, 219.496564, 0.799426, 180.242418, 38.454720
2048, 219.162578, 0.796787, 180.026293, 38.339497
2048, 219.522566, 0.799796, 180.325704, 38.397066
2048, 219.874602, 0.891487, 180.610891, 38.372224
2048, 219.282440, 0.871364, 179.972866, 38.438210
