N,ns_per_cell,react,vel_step,dens_step
128, 128.418606, 0.719581, 105.450511, 22.248514
128, 106.350257, 0.230407, 83.859151, 22.260698
128, 106.379143, 0.230527, 83.882732, 22.265883
128, 106.366835, 0.230561, 83.875608, 22.260667
128, 106.344602, 0.230748, 83.851875, 22.261979
128, 106.656850, 0.231251, 84.096099, 22.329500
128, 106.359697, 0.230637, 83.865257, 22.263803
128, 106.361231, 0.230971, 83.870198, 22.260062
128, 106.370218, 0.230787, 83.876533, 22.262898
128, 106.455117, 0.230965, 83.939341, 22.284812
256, 109.797270, 0.373689, 86.275534, 23.148047
256, 110.576130, 0.357070, 86.866882, 23.352178
256, 110.233423, 0.356220, 86.600348, 23.276855
256, 110.098189, 0.356842, 86.508867, 23.232479
256, 110.191813, 0.357201, 86.560515, 23.274098
256, 110.258612, 0.357924, 86.613543, 23.287145
256, 110.257181, 0.356970, 86.599957, 23.300254
256, 110.104889, 0.356207, 86.496664, 23.252017
256, 110.102882, 0.356600, 86.503971, 23.242311
256, 110.173065, 0.357229, 86.557938, 23.257898
512, 108.548061, 0.414353, 85.266112, 22.867596
512, 108.670630, 0.398510, 85.320797, 22.951323
512, 109.284794, 0.399376, 85.749601, 23.135817
512, 109.141423, 0.398521, 85.627379, 23.115522
512, 109.284278, 0.398362, 85.730139, 23.155777
512, 109.338046, 0.399491, 85.769616, 23.168939
512, 109.387288, 0.399872, 85.804535, 23.182881
512, 109.363943, 0.399289, 85.777843, 23.186811
512, 109.421789, 0.399959, 85.829878, 23.191953
512, 109.235399, 0.400519, 85.691122, 23.143758
1024, 109.670612, 0.478735, 85.837403, 23.354474
1024, 109.652565, 0.406613, 85.801851, 23.444101
1024, 109.680364, 0.405944, 85.825446, 23.448974
1024, 109.952760, 0.408990, 86.040668, 23.503102
1024, 109.611371, 0.406523, 85.753915, 23.450933
1024, 109.624731, 0.406575, 85.775169, 23.442987
1024, 109.633203, 0.405286, 85.776404, 23.451513
1024, 109.606395, 0.406498, 85.758964, 23.440933
1024, 109.626980, 0.405744, 85.760302, 23.460934
1024, 109.617228, 0.406207, 85.766735, 23.444286
2048, 120.558113, 0.904573, 92.708808, 26.944733
2048, 120.460545, 0.761622, 92.781366, 26.917557
2048, 120.361681, 0.763071, 92.649426, 26.949184
2048, 120.702817, 0.768331, 92.972115, 26.962371
2048, 120.407651, 0.757704, 92.744025, 26.905922
2048, 120.323672, 0.771705, 92.605178, 26.946789
2048, 120.471543, 0.772810, 92.755204, 26.943529
2048, 120.595663, 0.763322, 92.889582, 26.942759
2048, 120.456873, 0.779155, 92.710007, 26.967712
2048, 120.479051, 0.762421, 92.811030, 26.905600
