N,ns_per_cell,react,vel_step,dens_step
128, 75.415670, 0.252697, 60.964965, 14.198008
128, 66.721398, 0.152510, 52.936174, 13.632714
128, 66.740525, 0.152627, 52.952250, 13.635648
128, 66.527841, 0.152288, 52.781836, 13.593717
128, 67.006208, 0.153152, 53.159454, 13.693602
128, 66.576772, 0.152435, 52.824840, 13.599496
128, 66.833531, 0.153107, 53.024845, 13.655579
128, 67.084430, 0.154544, 53.216142, 13.713745
128, 66.786085, 0.153035, 52.986641, 13.646409
128, 66.896684, 0.153460, 53.072508, 13.670716
256, 76.246977, 0.417330, 61.502710, 14.326936
256, 68.451077, 0.201913, 54.046195, 14.202969
256, 68.217188, 0.201123, 53.865993, 14.150071
256, 68.162324, 0.201757, 53.834099, 14.126467
256, 67.622414, 0.200306, 53.395391, 14.026716
256, 68.293307, 0.202238, 53.919892, 14.171177
256, 68.176656, 0.201581, 53.842505, 14.132570
256, 67.847432, 0.199926, 53.599721, 14.047786
256, 68.250511, 0.201379, 53.848049, 14.201082
256, 68.023329, 0.200257, 53.650158, 14.172913
512, 69.319450, 0.330505, 54.629883, 14.359061
512, 67.263825, 0.182285, 53.286371, 13.795169
512, 66.683444, 0.180243, 52.780027, 13.723175
512, 66.861020, 0.183030, 52.938594, 13.739397
512, 66.640564, 0.181351, 52.766805, 13.692408
512, 67.155963, 0.180020, 53.159193, 13.816750
512, 66.829358, 0.180385, 52.900636, 13.748337
512, 66.756845, 0.180291, 52.825274, 13.751281
512, 66.545513, 0.180866, 52.654526, 13.710121
512, 67.229281, 0.180921, 53.198416, 13.849944
1024, 88.328506, 0.263281, 70.025180, 18.040046
1024, 86.938598, 0.209158, 68.738359, 17.991080
1024, 87.574271, 0.213668, 69.173722, 18.186880
1024, 86.935534, 0.212468, 68.676167, 18.046899
1024, 87.133028, 0.209054, 68.877287, 18.046686
1024, 86.926884, 0.211163, 68.677324, 18.038396
1024, 87.175569, 0.209438, 68.840676, 18.125455
1024, 87.160829, 0.211275, 68.888625, 18.060929
1024, 87.101736, 0.214382, 68.817029, 18.070325
1024, 87.161433, 0.212578, 68.876016, 18.072839
2048, 135.066348, 0.373843, 112.734692, 21.957813
2048, 134.584374, 0.343255, 112.161579, 22.079539
2048, 134.854116, 0.363324, 112.605710, 21.885082
2048, 135.224317, 0.359558, 112.738123, 22.126636
2048, 134.297523, 0.377606, 111.850880, 22.069036
2048, 135.168141, 0.381049, 112.770287, 22.016804
2048, 135.173512, 0.389853, 112.641254, 22.142406
2048, 134.376807, 0.369364, 112.158657, 21.848785
2048, 134.938492, 0.398572, 112.692072, 21.847849
2048, 135.013954, 0.367618, 112.625896, 22.020440
