N,ns_per_cell,react_vel_step,dens_step
128, 1156.643549, 4.166253, 894.454701, 258.022595
128, 1150.738720, 1.876412, 889.733312, 259.128996
128, 1147.528315, 1.888947, 886.991205, 258.648162
128, 1147.104527, 1.840495, 886.746745, 258.517288
128, 1145.708568, 1.876731, 885.547262, 258.284576
128, 1145.528425, 1.824566, 885.465121, 258.238738
128, 1149.960542, 1.790293, 888.948409, 259.221840
128, 1147.440083, 1.755811, 886.982603, 258.701669
128, 1146.422121, 1.741073, 886.287447, 258.393601
128, 1145.934603, 1.734008, 885.934280, 258.266314
256, 1186.640077, 1.689450, 920.484574, 264.466053
256, 1187.314950, 1.755408, 920.726848, 264.832694
256, 1187.677651, 1.765350, 920.106565, 265.805736
256, 1185.947701, 1.767215, 919.734083, 264.446402
256, 1184.245724, 1.780878, 918.160552, 264.304294
256, 1184.017932, 1.777332, 917.946494, 264.294105
256, 1184.543269, 1.771687, 918.416243, 264.355338
256, 1185.735710, 1.776757, 918.621462, 265.337491
256, 1185.278793, 1.790011, 919.227026, 264.261756
256, 1185.041988, 1.793378, 918.577329, 264.671281
512, 1232.229286, 1.674575, 960.842220, 269.712491
512, 1230.767953, 1.686393, 960.893564, 268.187996
512, 1230.341061, 1.697199, 960.442430, 268.201432
512, 1230.818029, 1.708783, 960.716441, 268.392805
512, 1228.139377, 1.708870, 958.145876, 268.284631
512, 1228.885667, 1.703206, 958.096971, 269.085490
512, 1228.778159, 1.704417, 958.768299, 268.305443
512, 1231.062734, 1.706076, 960.977509, 268.379150
512, 1227.718321, 1.708012, 957.579688, 268.430620
512, 1228.265128, 1.704588, 958.237172, 268.323368
1024, 1624.882195, 1.698877, 1261.010181, 362.173138
1024, 1622.273122, 1.700431, 1261.065599, 359.507093
1024, 1621.777515, 1.703644, 1260.426522, 359.647349
1024, 1623.823767, 1.697827, 1260.584651, 361.541289
1024, 1621.179037, 1.701976, 1260.178671, 359.298390
1024, 1621.903925, 1.703006, 1260.397216, 359.803703
1024, 1624.452230, 1.701346, 1260.928393, 361.822491
1024, 1622.370366, 1.710815, 1260.982887, 359.676664
1024, 1622.423936, 1.710349, 1261.080266, 359.633321
1024, 1625.446016, 1.704064, 1261.217367, 362.524586
2048, 1638.856855, 1.699353, 1274.124350, 363.033152
2048, 1638.050211, 1.666635, 1273.025631, 363.357945
2048, 1638.356893, 1.667772, 1272.849359, 363.839763
2048, 1638.183435, 1.667918, 1273.378951, 363.136566
2048, 1637.791980, 1.667641, 1272.961013, 363.163326
2048, 1638.258040, 1.666313, 1272.504276, 364.087451
2048, 1640.260812, 1.667086, 1274.674435, 363.919292
2048, 1640.274917, 1.668020, 1274.176306, 364.430590
2048, 1640.444588, 1.667815, 1274.396541, 364.380232
2048, 1639.856404, 1.667999, 1274.506063, 363.682342
