N,ns_per_cell,react,vel_step,dens_step
128, 94.356125, 0.343022, 78.260484, 15.752619
128, 72.560400, 0.163877, 57.367889, 15.028634
128, 72.609933, 0.165031, 57.411708, 15.033195
128, 72.018038, 0.162728, 56.937654, 14.917656
128, 72.686418, 0.164207, 57.460929, 15.061282
128, 72.382828, 0.164277, 57.224448, 14.994103
128, 72.248785, 0.163649, 57.113596, 14.971540
128, 72.673529, 0.164586, 57.444166, 15.064777
128, 72.167858, 0.164285, 57.049593, 14.953981
128, 72.425769, 0.164170, 57.258680, 15.002919
256, 80.544311, 0.360110, 65.017119, 15.167082
256, 73.150109, 0.219179, 57.853342, 15.077588
256, 72.314511, 0.212773, 57.198100, 14.903638
256, 72.870107, 0.215295, 57.638172, 15.016639
256, 72.849074, 0.214575, 57.660688, 14.973811
256, 72.381968, 0.213401, 57.301569, 14.866998
256, 72.917889, 0.215438, 57.725945, 14.976506
256, 72.604903, 0.217161, 57.472310, 14.915432
256, 72.662745, 0.214748, 57.511705, 14.936292
256, 73.117672, 0.216566, 57.826267, 15.074839
512, 73.927190, 0.299911, 58.674763, 14.952516
512, 70.944711, 0.199707, 56.074005, 14.671000
512, 71.369931, 0.201786, 56.380961, 14.787184
512, 71.117130, 0.201357, 56.140287, 14.775486
512, 71.307112, 0.203896, 56.334868, 14.768349
512, 71.037715, 0.201458, 56.151650, 14.684606
512, 72.020917, 0.208832, 56.909014, 14.903070
512, 71.895196, 0.207749, 56.826856, 14.860591
512, 72.081480, 0.208852, 56.939276, 14.933352
512, 71.839710, 0.206757, 56.756956, 14.875997
1024, 95.279012, 0.221710, 75.213724, 19.843577
1024, 94.998697, 0.230345, 75.044214, 19.724138
1024, 94.459672, 0.241722, 74.563054, 19.654896
1024, 94.733271, 0.225366, 74.829803, 19.678102
1024, 94.288388, 0.235656, 74.414365, 19.638367
1024, 94.985460, 0.224292, 75.043429, 19.717738
1024, 94.592561, 0.245019, 74.666919, 19.680623
1024, 94.936620, 0.223979, 74.998546, 19.714094
1024, 94.366387, 0.261140, 74.358288, 19.746960
1024, 94.767287, 0.225027, 74.827177, 19.715082
2048, 146.289474, 0.399156, 121.399183, 24.491135
2048, 145.980659, 0.381059, 121.757891, 23.841710
2048, 146.137988, 0.354351, 121.834190, 23.949448
2048, 145.520434, 0.371968, 121.297173, 23.851293
2048, 146.157321, 0.363689, 121.881642, 23.911990
2048, 146.095242, 0.373678, 121.755360, 23.966204
2048, 145.187409, 0.355037, 120.974055, 23.858317
2048, 146.306848, 0.386439, 122.054987, 23.865423
2048, 145.660374, 0.361462, 121.419426, 23.879486
2048, 145.534661, 0.378678, 121.266220, 23.889763
