N,ns_per_cell,react,vel_step,dens_step
128, 90.437652, 0.413820, 80.743405, 9.280427
128, 41.817340, 0.137309, 32.352377, 9.327653
128, 41.958409, 0.136837, 32.444771, 9.376801
128, 41.786045, 0.136688, 32.328343, 9.321014
128, 41.844897, 0.137104, 32.369851, 9.337941
128, 42.083501, 0.137150, 32.537526, 9.408825
128, 41.966138, 0.136595, 32.448542, 9.381002
128, 41.921841, 0.137467, 32.420330, 9.364043
128, 41.889306, 0.136796, 32.399334, 9.353176
128, 42.022791, 0.137066, 32.486695, 9.399030
256, 37.512535, 0.206455, 29.019176, 8.286904
256, 37.230015, 0.191225, 28.674615, 8.364175
256, 37.108116, 0.190990, 28.580388, 8.336738
256, 37.097707, 0.190913, 28.577118, 8.329676
256, 37.124311, 0.190683, 28.584259, 8.349369
256, 37.100323, 0.191057, 28.572737, 8.336529
256, 37.090242, 0.190971, 28.567593, 8.331679
256, 37.127190, 0.191120, 28.585299, 8.350770
256, 37.080972, 0.190921, 28.555245, 8.334806
256, 37.093984, 0.191209, 28.565949, 8.336826
512, 36.378268, 0.206914, 27.795267, 8.376087
512, 35.706809, 0.180344, 27.242539, 8.283926
512, 35.736937, 0.181037, 27.277032, 8.278869
512, 35.607628, 0.179659, 27.169185, 8.258784
512, 35.623747, 0.178960, 27.187260, 8.257527
512, 35.595444, 0.179094, 27.158660, 8.257690
512, 35.613246, 0.180366, 27.179055, 8.253825
512, 35.606951, 0.180930, 27.174536, 8.251485
512, 35.585543, 0.180893, 27.154866, 8.249784
512, 35.594213, 0.180351, 27.164213, 8.249650
1024, 35.769889, 0.295659, 27.069704, 8.404526
1024, 35.216929, 0.196349, 26.729906, 8.290674
1024, 35.206702, 0.196155, 26.714424, 8.296123
1024, 35.286755, 0.189436, 26.769917, 8.327402
1024, 35.200170, 0.189623, 26.721669, 8.288879
1024, 35.135083, 0.188203, 26.665392, 8.281488
1024, 35.127072, 0.187816, 26.668671, 8.270586
1024, 35.129340, 0.187680, 26.664367, 8.277293
1024, 35.170181, 0.190945, 26.700979, 8.278257
1024, 35.116416, 0.190185, 26.657689, 8.268542
2048, 48.187332, 0.421198, 35.462655, 12.303480
2048, 48.425102, 0.273795, 35.841621, 12.309686
2048, 48.275411, 0.270865, 35.743273, 12.261273
2048, 48.323087, 0.273528, 35.764989, 12.284570
2048, 48.408920, 0.274227, 35.912501, 12.222192
2048, 48.412525, 0.273271, 35.775268, 12.363986
2048, 48.336318, 0.272525, 35.738009, 12.325784
2048, 48.348486, 0.274066, 35.812747, 12.261672
2048, 48.372904, 0.274541, 35.776757, 12.321606
2048, 48.258700, 0.272148, 35.757628, 12.228924
