N,ns_per_cell,react,vel_step,dens_step
128, 161.449663, 0.955197, 129.423285, 31.071181
128, 153.127080, 0.678532, 121.859801, 30.588747
128, 152.053893, 0.673976, 121.006809, 30.373108
128, 153.054267, 0.679179, 121.815765, 30.559323
128, 151.834700, 0.672813, 120.816484, 30.345403
128, 152.485749, 0.675587, 121.337247, 30.472916
128, 152.293233, 0.674801, 121.182362, 30.436070
128, 152.197117, 0.675011, 121.112550, 30.409556
128, 152.788289, 0.677663, 121.570219, 30.540407
128, 151.836694, 0.672859, 120.820679, 30.343156
256, 172.155829, 1.005247, 138.290631, 32.859951
256, 157.205751, 0.719720, 124.710580, 31.775451
256, 155.435475, 0.710353, 123.328960, 31.396162
256, 156.323972, 0.713529, 124.042711, 31.567732
256, 155.832383, 0.710863, 123.673732, 31.447788
256, 156.863145, 0.716128, 124.450701, 31.696316
256, 155.553144, 0.709552, 123.441737, 31.401855
256, 156.036777, 0.711111, 123.860660, 31.465006
256, 155.452003, 0.707592, 123.357919, 31.386493
256, 156.272470, 0.712059, 124.016889, 31.543522
512, 157.037269, 0.870170, 124.795742, 31.371357
512, 156.162987, 0.736888, 124.244815, 31.181284
512, 156.613580, 0.738756, 124.645497, 31.229328
512, 157.259670, 0.742816, 125.143170, 31.373684
512, 157.262602, 0.741161, 125.161590, 31.359851
512, 157.689808, 0.742760, 125.472999, 31.474049
512, 157.064101, 0.741443, 125.016821, 31.305837
512, 156.195271, 0.738335, 124.336286, 31.120650
512, 156.817560, 0.738660, 124.763397, 31.315504
512, 156.359100, 0.735992, 124.426353, 31.196755
1024, 176.379769, 0.757705, 140.803362, 34.818703
1024, 176.258338, 0.747873, 140.523136, 34.987329
1024, 176.255990, 0.771318, 140.608518, 34.876154
1024, 178.058232, 0.775940, 141.603116, 35.679175
1024, 176.291069, 0.821618, 140.480987, 34.988465
1024, 177.449632, 0.804759, 141.670281, 34.974592
1024, 175.267059, 0.756731, 139.855988, 34.654341
1024, 175.903451, 0.749855, 140.221563, 34.932033
1024, 175.876850, 0.763296, 140.057851, 35.055704
1024, 177.244390, 0.767020, 141.330223, 35.147147
2048, 218.918691, 1.131006, 178.065692, 39.721993
2048, 217.809198, 1.087928, 177.480610, 39.240659
2048, 218.002431, 1.072101, 177.530741, 39.399589
2048, 218.132906, 1.167007, 177.353818, 39.612081
2048, 217.558723, 1.061789, 177.205665, 39.291269
2048, 217.475009, 1.037314, 177.102800, 39.334894
2048, 218.175766, 1.136190, 177.773938, 39.265638
2048, 217.919881, 1.037945, 177.302491, 39.579445
2048, 217.589086, 1.076596, 177.121603, 39.390887
2048, 217.708170, 1.067373, 177.266924, 39.373873
