N,ns_per_cell,react,vel_step,dens_step
128, 166.477776, 1.012580, 132.322441, 33.142754
128, 165.322119, 0.727175, 131.406185, 33.188758
128, 165.258398, 0.726233, 131.365573, 33.166592
128, 165.478171, 0.726724, 131.553220, 33.198226
128, 165.230131, 0.726157, 131.353101, 33.150873
128, 165.298782, 0.726690, 131.400658, 33.171434
128, 165.549082, 0.728329, 131.596276, 33.224477
128, 165.074269, 0.726088, 131.219004, 33.129177
128, 165.110869, 0.726366, 131.248940, 33.135562
128, 165.297473, 0.726190, 131.397124, 33.174159
256, 169.358756, 1.097106, 134.206608, 34.055041
256, 169.787065, 0.884719, 134.653599, 34.248747
256, 170.546578, 0.900335, 134.869429, 34.776814
256, 169.321259, 0.872357, 134.282436, 34.166466
256, 170.577640, 0.894996, 134.996169, 34.686475
256, 169.623183, 0.878884, 134.529419, 34.214880
256, 169.926500, 0.878829, 134.623388, 34.424283
256, 170.245901, 0.892060, 134.760482, 34.593359
256, 169.584610, 0.873624, 134.498562, 34.212424
256, 170.342886, 0.892017, 134.830962, 34.619907
512, 175.605658, 1.079750, 138.672661, 35.853247
512, 174.719004, 0.952253, 138.827261, 34.939491
512, 177.994560, 0.971791, 141.460628, 35.562141
512, 176.301424, 0.951292, 140.217639, 35.132493
512, 176.172396, 0.965972, 140.127876, 35.078548
512, 178.238634, 0.982697, 141.765287, 35.490650
512, 174.516574, 0.951384, 138.661183, 34.904007
512, 177.468027, 0.973265, 141.203920, 35.290843
512, 174.718975, 0.940493, 138.865212, 34.913270
512, 176.987474, 0.958455, 140.743224, 35.285795
1024, 209.421013, 1.170998, 167.701730, 40.548286
1024, 201.115114, 1.010065, 160.323115, 39.781934
1024, 201.762469, 0.975321, 160.754514, 40.032634
1024, 204.097212, 1.080756, 162.686129, 40.330327
1024, 199.175176, 1.063803, 158.075893, 40.035479
1024, 205.330054, 1.048235, 164.061244, 40.220574
1024, 200.941439, 1.066998, 160.042077, 39.832364
1024, 203.292787, 1.053725, 162.006395, 40.232667
1024, 201.556372, 1.057577, 160.301770, 40.197024
1024, 200.689360, 1.064604, 159.633815, 39.990941
2048, 237.816011, 1.512502, 193.520654, 42.782855
2048, 236.291391, 1.173040, 192.054595, 43.063756
2048, 236.585942, 1.269328, 192.488301, 42.828313
2048, 236.298297, 1.298995, 192.104523, 42.894780
2048, 236.185210, 1.247314, 191.627233, 43.310664
2048, 236.585667, 1.261019, 192.381159, 42.943488
2048, 237.348262, 1.154932, 193.004293, 43.189037
2048, 237.007321, 1.178996, 192.452314, 43.376011
2048, 236.116058, 1.183763, 192.087565, 42.844731
2048, 236.028233, 1.125014, 192.226652, 42.676567
