N,ns_per_cell,react,vel_step,dens_step
128, 210.860094, 1.606452, 184.770045, 24.483597
128, 121.729866, 0.658511, 96.541481, 24.529875
128, 121.736938, 0.657554, 96.567302, 24.512082
128, 121.674811, 0.657440, 96.508693, 24.508678
128, 121.700603, 0.657877, 96.527175, 24.515552
128, 121.996957, 0.659586, 96.760323, 24.577049
128, 121.693855, 0.657455, 96.516561, 24.519839
128, 121.675822, 0.656962, 96.517382, 24.501478
128, 121.800457, 0.658408, 96.603422, 24.538627
128, 121.669385, 0.656743, 96.504188, 24.508454
256, 121.909068, 0.704034, 95.493817, 25.711216
256, 119.337494, 0.704544, 94.394078, 24.238872
256, 118.577034, 0.699976, 93.759636, 24.117422
256, 118.525986, 0.699348, 93.721260, 24.105378
256, 118.712067, 0.701712, 93.879686, 24.130670
256, 118.557899, 0.699073, 93.751884, 24.106943
256, 118.737434, 0.700572, 93.908426, 24.128436
256, 118.499640, 0.698827, 93.710128, 24.090686
256, 118.619588, 0.701089, 93.793271, 24.125228
256, 118.512887, 0.698614, 93.711766, 24.102508
512, 119.819308, 0.734939, 94.420205, 24.664164
512, 119.596521, 0.723047, 94.251377, 24.622096
512, 119.869416, 0.723336, 94.464058, 24.682022
512, 119.523267, 0.722454, 94.209338, 24.591475
512, 119.512552, 0.722442, 94.200993, 24.589117
512, 119.489417, 0.721772, 94.187305, 24.580341
512, 119.486789, 0.723970, 94.189829, 24.572990
512, 119.650732, 0.724839, 94.299300, 24.626593
512, 119.647920, 0.723955, 94.322429, 24.601535
512, 119.591876, 0.729488, 94.264603, 24.597786
1024, 122.084539, 0.764875, 96.062370, 25.257294
1024, 121.088919, 0.730216, 95.174143, 25.184560
1024, 121.938401, 0.731329, 95.957812, 25.249260
1024, 121.262255, 0.730540, 95.246160, 25.285555
1024, 121.057349, 0.730278, 95.138134, 25.188937
1024, 120.994314, 0.727146, 95.093272, 25.173896
1024, 120.977768, 0.729423, 95.081480, 25.166865
1024, 120.993370, 0.727790, 95.079872, 25.185708
1024, 121.237114, 0.729125, 95.323731, 25.184258
1024, 120.980624, 0.728611, 95.088763, 25.163251
2048, 131.915989, 1.070469, 102.945753, 27.899766
2048, 130.463644, 1.012018, 101.591958, 27.859668
2048, 130.212823, 1.022754, 101.543584, 27.646485
2048, 131.039100, 1.015878, 101.872230, 28.150992
2048, 130.405762, 1.021249, 101.477997, 27.906516
2048, 130.497446, 1.011065, 101.517147, 27.969235
2048, 130.475263, 1.011339, 101.509246, 27.954679
2048, 130.615588, 0.999387, 101.612324, 28.003878
2048, 130.485289, 1.011304, 101.568657, 27.905327
2048, 130.559831, 1.007915, 101.628044, 27.923872
