N,ns per cell total,react,vel_step,dens_step
2, 552.231613, 26.640560, 448.418144, 77.172909
2, 541.570603, 26.195694, 439.475098, 75.899811
2, 538.961776, 26.088435, 437.362938, 75.510403
2, 539.796213, 26.133207, 438.085325, 75.577680
2, 538.334696, 26.039818, 436.810660, 75.484217
2, 539.371366, 26.036886, 437.806800, 75.527680
2, 537.576961, 26.048344, 436.276132, 75.252485
2, 540.367759, 26.189030, 438.580612, 75.598117
2, 540.091767, 26.162734, 438.251537, 75.677496
4, 510.912549, 14.206763, 439.297019, 57.408767
4, 509.606772, 14.129802, 438.237559, 57.239410
4, 510.920296, 14.226654, 439.256713, 57.436929
4, 511.558067, 14.205149, 439.859475, 57.493442
4, 510.059544, 14.154625, 438.577279, 57.327640
4, 510.326630, 14.219450, 438.779246, 57.327934
4, 509.853734, 14.275127, 438.331089, 57.247517
4, 509.667873, 14.213404, 438.207683, 57.246785
4, 511.005855, 14.228385, 439.371584, 57.405886
8, 766.727461, 8.391093, 704.290304, 54.046064
8, 768.463952, 8.403450, 705.902083, 54.158419
8, 785.512557, 8.533220, 721.588780, 55.390558
8, 764.942052, 8.286783, 702.890870, 53.764399
8, 769.050929, 8.326485, 706.737313, 53.987130
8, 766.014742, 8.315704, 703.876478, 53.822560
8, 765.649456, 8.309564, 703.374049, 53.965843
8, 766.019766, 8.310730, 703.671816, 54.037220
8, 767.685901, 8.375156, 705.201778, 54.108967
16, 902.771172, 6.411458, 844.668217, 51.691497
16, 898.478765, 6.308398, 840.754703, 51.415664
16, 897.953282, 6.311132, 840.286613, 51.355536
16, 898.470185, 6.336939, 840.780036, 51.353211
16, 898.358500, 6.336366, 840.655583, 51.366551
16, 900.840899, 6.333278, 843.042249, 51.465372
16, 898.355225, 6.330615, 840.665555, 51.359055
16, 898.177551, 6.329697, 840.483814, 51.364039
16, 898.270683, 6.332167, 840.590346, 51.348171
32, 885.310322, 5.576481, 827.968573, 51.765268
32, 886.318948, 5.390391, 829.105298, 51.823260
32, 884.770924, 5.319791, 827.714098, 51.737035
32, 902.872694, 5.428662, 844.662188, 52.781843
32, 884.841050, 5.334258, 827.782255, 51.724537
32, 883.770706, 5.336896, 826.785619, 51.648192
32, 884.685131, 5.340681, 827.598954, 51.745497
32, 884.147033, 5.343517, 827.092006, 51.711511
32, 883.861734, 5.336371, 826.861570, 51.663793
64, 859.686040, 5.185905, 803.614875, 50.885260
64, 858.334934, 4.988747, 802.458497, 50.887690
64, 858.432726, 4.972823, 802.567147, 50.892756
64, 862.590358, 5.023136, 806.531591, 51.035631
64, 859.649404, 4.987669, 803.688595, 50.973140
64, 859.852506, 5.010096, 803.914137, 50.928273
64, 860.346652, 4.958815, 804.459420, 50.928417
64, 857.718220, 4.982803, 801.934060, 50.801357
64, 858.227288, 4.973317, 802.421391, 50.832580
128, 859.727675, 4.857066, 804.195041, 50.675569
128, 860.233271, 4.836506, 804.711672, 50.685093
128, 859.415942, 4.866224, 803.867458, 50.682260
128, 859.650522, 4.782883, 804.155822, 50.711817
128, 865.147221, 4.751993, 809.339616, 51.055612
128, 876.889295, 4.829078, 820.344761, 51.715456
128, 859.155927, 4.737304, 803.759890, 50.658733
128, 859.574152, 4.725727, 804.142577, 50.705849
128, 859.470221, 4.711095, 804.061174, 50.697952
256, 864.905316, 4.738643, 808.574594, 51.592079
256, 860.613748, 4.739867, 804.517716, 51.356165
256, 862.156538, 4.761253, 805.738108, 51.657178
256, 861.191377, 4.785472, 805.119735, 51.286170
256, 860.451806, 4.759601, 804.167032, 51.525173
256, 865.752112, 4.783072, 809.403695, 51.565346
256, 860.603175, 4.745485, 804.479264, 51.378426
256, 860.487546, 4.761787, 804.288884, 51.436875
256, 861.259550, 4.739347, 805.082172, 51.438031
