N,ns per cell total,react,vel_step,dens_step
2, 560.632489, 25.592299, 457.190440, 77.849750
2, 559.874384, 25.618148, 456.431965, 77.824270
2, 559.490927, 25.581871, 456.156610, 77.752445
2, 560.960647, 25.645852, 457.400691, 77.914104
2, 559.144511, 25.510554, 455.896462, 77.737496
2, 560.834293, 25.492522, 456.244626, 79.097145
2, 576.095059, 25.660215, 456.291250, 94.143593
2, 582.139527, 25.691990, 457.511382, 98.936156
2, 582.431665, 25.744638, 457.371241, 99.315787
4, 526.004188, 14.122260, 452.705553, 59.176375
4, 526.613058, 14.167280, 453.233474, 59.212304
4, 527.204572, 14.115480, 453.806114, 59.282978
4, 542.384835, 14.559038, 466.824664, 61.001133
4, 529.856730, 14.264887, 455.894117, 59.697727
4, 527.726736, 14.153548, 454.142686, 59.430503
4, 527.725701, 14.158058, 454.163659, 59.403983
4, 527.365994, 14.110418, 453.939585, 59.315991
4, 529.025435, 14.141297, 455.399766, 59.484372
8, 788.895654, 8.481734, 724.166563, 56.247358
8, 792.305699, 8.292091, 727.321824, 56.691784
8, 786.323524, 8.079628, 721.780476, 56.463420
8, 787.521472, 8.084201, 722.751291, 56.685980
8, 788.691131, 8.060801, 723.753171, 56.877160
8, 786.431601, 8.038285, 721.769560, 56.623756
8, 788.229212, 8.081512, 723.419289, 56.728411
8, 787.447623, 8.028167, 722.835223, 56.584234
8, 788.211574, 8.190665, 723.290027, 56.730883
16, 1021.121246, 6.397137, 957.957267, 56.766842
16, 1019.632441, 6.248374, 956.697514, 56.686552
16, 1023.413750, 6.266666, 960.162924, 56.984160
16, 1020.095538, 6.225794, 957.201270, 56.668474
16, 1024.811967, 6.258868, 961.456388, 57.096711
16, 1044.066812, 6.370935, 979.760288, 57.935589
16, 1019.679624, 6.227843, 956.860497, 56.591284
16, 1021.273137, 6.334658, 958.192914, 56.745565
16, 1020.304065, 6.266036, 957.350105, 56.687924
32, 1008.371953, 5.564181, 945.675298, 57.132474
32, 1005.196150, 5.341809, 943.023409, 56.830932
32, 1005.702849, 5.292184, 943.513462, 56.897204
32, 1009.031266, 5.309733, 946.657159, 57.064373
32, 1006.357494, 5.295123, 944.163474, 56.898898
32, 1003.754316, 5.274365, 941.665885, 56.814065
32, 1006.751395, 5.293214, 944.532208, 56.925972
32, 1005.675589, 5.294307, 943.473810, 56.907472
32, 1009.753527, 5.318666, 947.332792, 57.102069
64, 985.314855, 5.137189, 923.482251, 56.695415
64, 982.683865, 4.971092, 922.419045, 55.293728
64, 982.901824, 4.949551, 922.547466, 55.404807
64, 984.980500, 4.967957, 924.590906, 55.421637
64, 985.736939, 4.955612, 925.409042, 55.372285
64, 984.785801, 4.957201, 924.495833, 55.332768
64, 1010.551347, 5.085784, 948.620827, 56.844737
64, 986.652747, 4.925835, 926.197359, 55.529553
64, 984.110588, 4.952887, 923.870244, 55.287457
128, 981.547340, 4.929509, 920.563911, 56.053920
128, 983.276381, 4.857663, 921.913912, 56.504806
128, 982.728614, 4.881508, 921.402903, 56.444203
128, 982.593997, 4.856276, 921.128032, 56.609689
128, 979.488172, 4.727118, 918.579407, 56.181647
128, 984.607196, 4.714327, 923.759932, 56.132938
128, 986.438412, 4.754869, 925.299296, 56.384247
128, 983.019813, 4.745977, 922.649228, 55.624608
128, 982.351119, 4.732863, 922.086980, 55.531276
256, 977.440203, 5.129180, 916.311565, 55.999458
256, 974.319922, 4.696915, 913.467140, 56.155867
256, 976.878520, 4.736605, 915.981923, 56.159991
256, 974.522892, 4.723380, 913.714016, 56.085496
256, 976.806162, 4.707022, 915.845919, 56.253220
256, 977.035349, 4.714158, 915.943280, 56.377911
256, 978.400547, 4.733651, 917.145968, 56.520928
256, 997.312685, 4.799836, 934.691723, 57.821127
256, 982.869607, 4.750663, 921.392586, 56.726358
