N,ns per cell total,react,vel_step,dens_step
2, 566.557434, 26.143294, 462.495148, 77.918991
2, 567.706901, 26.208242, 463.388906, 78.109753
2, 568.722396, 26.264920, 464.271874, 78.185602
2, 565.595281, 26.140433, 461.662704, 77.792144
2, 567.110122, 26.206579, 462.779575, 78.123968
2, 568.424864, 26.249453, 462.937207, 79.238205
2, 594.173104, 26.786729, 472.048673, 95.337702
2, 590.378364, 26.259347, 463.880142, 100.238875
2, 586.049265, 26.084166, 460.566385, 99.398714
4, 519.858842, 14.520753, 446.575807, 58.762282
4, 517.280892, 14.433948, 444.280000, 58.566944
4, 517.172526, 14.424603, 444.219776, 58.528147
4, 518.411519, 14.458149, 445.335220, 58.618149
4, 517.284764, 14.440762, 444.369932, 58.474071
4, 517.311918, 14.428321, 444.379750, 58.503846
4, 517.231958, 14.437902, 444.286987, 58.507069
4, 517.491589, 14.437823, 444.602029, 58.451737
4, 518.440507, 14.455990, 445.456044, 58.528473
8, 832.089292, 8.385933, 766.655044, 57.048316
8, 830.540365, 8.359461, 765.155264, 57.025640
8, 831.708739, 8.361519, 766.254007, 57.093213
8, 833.309730, 8.371453, 767.755529, 57.182749
8, 833.509820, 8.377288, 767.943342, 57.189190
8, 829.624637, 8.358084, 764.284383, 56.982171
8, 830.368992, 8.346540, 764.981860, 57.040592
8, 835.628900, 8.415713, 769.784791, 57.428396
8, 849.816287, 8.535957, 782.908110, 58.372220
16, 1022.973404, 6.508078, 959.673150, 56.792176
16, 1022.578738, 6.430849, 959.418576, 56.729313
16, 1020.745629, 6.428296, 957.685956, 56.631377
16, 1026.751499, 6.473781, 963.342664, 56.935053
16, 1020.194418, 6.432188, 957.110847, 56.651382
16, 1023.229469, 6.435695, 959.959991, 56.833783
16, 1019.928569, 6.411279, 956.854534, 56.662756
16, 1022.694708, 6.446665, 959.434310, 56.813733
16, 1021.846930, 6.440002, 958.677377, 56.729550
32, 1005.194948, 5.556081, 942.792707, 56.846160
32, 1002.258654, 5.342216, 940.329115, 56.587322
32, 1006.667661, 5.312996, 944.501750, 56.852915
32, 1003.684345, 5.300599, 941.732811, 56.650935
32, 1003.271629, 5.293508, 941.329154, 56.648968
32, 1004.645736, 5.296946, 942.573216, 56.775574
32, 1002.583489, 5.294242, 940.648075, 56.641173
32, 1004.767703, 5.306962, 942.713552, 56.747190
32, 1003.600542, 5.320848, 941.606835, 56.672859
64, 1015.219413, 5.333783, 951.466875, 58.418755
64, 983.773594, 4.990264, 923.454666, 55.328664
64, 983.042096, 4.959786, 922.940637, 55.141672
64, 985.827035, 4.999399, 925.353956, 55.473680
64, 984.052966, 4.967538, 923.928374, 55.157055
64, 983.518885, 4.971874, 923.395983, 55.151028
64, 984.467923, 4.975140, 924.273397, 55.219385
64, 984.236201, 4.921973, 924.162425, 55.151803
64, 986.698350, 4.985422, 926.404417, 55.308511
128, 976.995717, 4.937358, 916.261046, 55.797312
128, 979.824399, 4.930388, 918.693445, 56.200566
128, 980.790999, 4.890616, 919.602156, 56.298226
128, 980.968449, 4.883613, 919.587302, 56.497535
128, 981.363865, 4.787056, 920.279480, 56.297329
128, 981.459589, 4.775185, 920.531648, 56.152756
128, 985.440557, 4.792470, 924.388508, 56.259578
128, 980.159119, 4.757346, 920.174669, 55.227104
128, 979.256583, 4.750524, 919.426447, 55.079613
256, 978.410377, 5.211727, 917.059010, 56.139640
256, 988.652549, 4.847350, 927.130548, 56.674651
256, 982.217683, 4.823733, 920.925921, 56.468030
256, 973.589160, 4.765971, 912.818431, 56.004759
256, 975.399349, 4.764443, 914.446963, 56.187943
256, 980.595120, 4.805727, 919.404974, 56.384418
256, 977.768983, 4.786361, 916.478078, 56.504544
256, 981.044684, 4.769012, 919.732583, 56.543089
256, 978.845670, 4.769269, 917.629494, 56.446908
