N,ns per cell total,react,vel_step,dens_step
2, 202.344060, 10.160246, 158.412480, 33.771334
2, 201.086653, 10.090124, 157.380030, 33.616499
2, 202.117204, 10.150879, 158.260734, 33.705591
2, 201.755035, 10.144594, 157.970006, 33.640436
2, 201.821296, 10.154264, 157.936633, 33.730399
2, 199.930935, 10.035834, 156.509436, 33.385664
2, 201.188555, 10.096885, 157.542071, 33.549598
2, 201.032598, 10.095767, 157.390026, 33.546804
2, 201.551870, 10.122420, 157.780411, 33.649038
4, 128.626500, 2.359745, 107.464415, 18.802340
4, 127.672616, 2.343604, 106.650932, 18.678080
4, 128.532839, 2.360517, 107.401811, 18.770511
4, 127.716009, 2.338888, 106.707818, 18.669303
4, 127.917650, 2.361433, 106.845213, 18.711003
4, 129.114059, 2.370762, 107.876976, 18.866321
4, 127.476661, 2.337517, 106.481730, 18.657415
4, 128.478674, 2.357394, 107.329127, 18.792153
4, 127.528132, 2.332373, 106.555798, 18.639961
8, 193.249849, 0.854032, 175.914756, 16.481062
8, 191.196137, 0.851078, 174.044187, 16.300872
8, 188.814691, 0.837064, 171.870116, 16.107511
8, 190.749884, 0.851044, 173.677379, 16.221461
8, 189.673584, 0.850683, 172.666904, 16.155997
8, 189.953271, 0.844136, 172.896216, 16.212918
8, 191.286660, 0.854464, 174.098340, 16.333856
8, 189.057859, 0.834346, 172.038923, 16.184589
8, 191.360818, 0.850683, 174.172856, 16.337278
16, 225.630230, 0.411082, 206.862530, 18.356618
16, 233.115871, 0.426822, 213.695530, 18.993519
16, 229.039001, 0.457229, 209.966453, 18.615319
16, 227.742040, 0.458611, 208.677298, 18.606132
16, 226.924623, 0.459033, 207.993133, 18.472457
16, 227.658708, 0.461267, 208.680922, 18.516519
16, 227.205731, 0.457324, 208.257231, 18.491176
16, 228.723382, 0.458782, 209.653607, 18.610994
16, 226.839899, 0.456798, 207.937692, 18.445409
32, 225.762190, 0.283916, 206.923426, 18.554848
32, 225.522685, 0.286957, 206.723187, 18.512540
32, 226.118042, 0.288496, 207.180382, 18.649164
32, 227.487359, 0.286899, 208.550032, 18.650429
32, 226.517761, 0.282660, 207.628750, 18.606351
32, 226.919118, 0.285437, 207.949087, 18.684595
32, 229.668846, 0.289245, 210.496322, 18.883279
32, 230.269723, 0.288078, 211.053043, 18.928602
32, 230.344322, 0.286728, 211.118255, 18.939338
64, 235.487873, 0.539877, 215.524223, 19.423773
64, 225.426062, 0.515919, 206.274145, 18.635998
64, 225.208373, 0.517154, 206.135915, 18.555303
64, 226.392974, 0.516488, 207.183983, 18.692503
64, 225.548554, 0.515543, 206.425300, 18.607711
64, 225.995496, 0.516198, 206.828992, 18.650306
64, 224.737975, 0.517948, 205.686930, 18.533097
64, 225.106880, 0.511881, 206.010815, 18.584183
64, 225.145838, 0.511808, 206.064647, 18.569383
128, 233.907295, 0.790918, 213.843062, 19.273316
128, 227.129766, 0.785092, 207.524083, 18.820592
128, 224.662685, 0.775565, 205.233989, 18.653131
128, 225.583527, 0.774381, 206.147652, 18.661494
128, 225.554070, 0.766650, 206.111692, 18.675728
128, 224.913207, 0.763983, 205.511649, 18.637575
128, 227.576833, 0.786481, 207.862064, 18.928289
128, 224.766753, 0.761518, 205.440646, 18.564588
128, 226.651286, 0.766108, 207.128824, 18.756353
256, 235.842972, 1.574245, 214.911733, 19.356994
256, 228.522094, 1.536261, 208.159010, 18.826823
256, 230.191850, 1.554910, 209.506054, 19.130886
256, 228.229301, 1.542521, 207.910867, 18.775913
256, 229.989325, 1.543983, 209.494904, 18.950438
256, 228.811347, 1.553464, 208.334188, 18.923695
256, 229.424221, 1.547034, 208.898660, 18.978527
256, 230.395212, 1.554001, 209.877653, 18.963558
256, 229.225061, 1.538806, 208.730535, 18.955721
